회사명,거래소코드,회계년도,당기순이익(손실)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),자산(*)(요약)(IFRS)(백만원),자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS연결)(백만원)
(주)골드앤에스,035290,2021/12,771,771,26145,26145,10878,10969
(주)골드퍼시픽,038530,2011/12,990,,27474,,5644,
(주)골드퍼시픽,038530,2012/12,255,,29862,,6933,
(주)골드퍼시픽,038530,2013/12,-8456,-9381,30518,33688,13401,17497
(주)골드퍼시픽,038530,2014/12,-7307,-7390,31936,41949,15034,25381
(주)골드퍼시픽,038530,2015/12,-12526,-10216,27496,28573,7380,7380
(주)골드퍼시픽,038530,2016/12,-23433,,11122,,9232,
(주)골드퍼시픽,038530,2017/12,-965,,26568,,21203,
(주)골드퍼시픽,038530,2018/12,-4380,-4472,37288,37825,17202,17739
(주)골드퍼시픽,038530,2019/12,-31604,,72946,,51876,
(주)골드퍼시픽,038530,2020/12,-1498,,71420,,11682,
(주)골드퍼시픽,038530,2021/12,-19466,,87389,,24405,
(주)골프존,215000,2015/12,33263,36533,171629,178132,66566,69278
(주)골프존,215000,2016/12,35913,36536,177636,187914,61749,67266
(주)골프존,215000,2017/12,75544,79392,239012,253672,57617,64291
(주)골프존,215000,2018/12,21663,20419,254579,254058,57142,59138
(주)골프존,215000,2019/12,19705,16214,304861,312587,99331,112544
(주)골프존,215000,2020/12,36329,37497,348043,367294,119466,141723
(주)골프존,215000,2021/12,74185,76442,453214,483601,164518,191699
(주)골프존뉴딘홀딩스,121440,2011/12,47592,46487,373246,378054,25142,29086
(주)골프존뉴딘홀딩스,121440,2012/12,72099,73355,512615,540923,101615,129286
(주)골프존뉴딘홀딩스,121440,2013/12,4493,2803,589947,637840,162390,213296
(주)골프존뉴딘홀딩스,121440,2014/12,63571,79234,586599,762037,112963,275651
(주)골프존뉴딘홀딩스,121440,2015/12,890007,871101,585663,767325,33960,215965
(주)골프존뉴딘홀딩스,121440,2016/12,-20256,2876,561893,760773,55052,232686
(주)골프존뉴딘홀딩스,121440,2017/12,-21779,-21585,536245,756501,56170,255588
(주)골프존뉴딘홀딩스,121440,2018/12,-7654,-7527,563387,774743,78906,288773
(주)골프존뉴딘홀딩스,121440,2019/12,-30342,-34848,537526,776385,87457,329187
(주)골프존뉴딘홀딩스,121440,2020/12,27194,28482,562129,795769,93885,326288
(주)골프존뉴딘홀딩스,121440,2021/12,134031,135857,702772,939418,105004,338058
(주)공구우먼,366030,2017/12,,,,,,
(주)공구우먼,366030,2018/12,,,,,,
(주)공구우먼,366030,2019/12,,,,,,
(주)공구우먼,366030,2020/12,4346,,23980,,2726,
(주)공구우먼,366030,2021/12,8764,,31551,,4432,
(주)광림,014200,2011/12,2583,,86353,,29676,
(주)광림,014200,2012/12,586,,89766,,26264,
(주)광림,014200,2013/12,1631,,101593,,36796,
(주)광림,014200,2014/12,1138,-238,120284,244886,54025,115916
(주)광림,014200,2015/12,9224,,146339,,65439,
(주)광림,014200,2016/12,437,-1897,152080,229597,61859,116091
(주)광림,014200,2017/12,86196,-23602,369582,208058,193026,100368
(주)광림,014200,2018/12,-58294,-28446,236379,187813,115448,97737
(주)광림,014200,2019/12,-68291,-14007,193569,252468,132820,161696
(주)광림,014200,2020/12,-10061,-23824,234833,212123,86736,130510
(주)광림,014200,2021/12,-9719,-23012,272822,268834,68597,143054
(주)광무,029480,2011/12,-51537,-50127,85836,75946,36540,38115
(주)광무,029480,2012/12,-15113,-10689,60163,55789,23645,26281
(주)광무,029480,2013/12,-33154,-28721,28890,35385,17544,26598
(주)광무,029480,2014/12,-860,,27863,,19357,
(주)광무,029480,2015/12,-2728,,21133,,13389,
(주)광무,029480,2016/12,96,,29090,,21037,
(주)광무,029480,2017/12,-3353,,28951,,15398,
(주)광무,029480,2018/12,-4875,-5121,26017,28432,16322,17703
(주)광무,029480,2019/12,-6275,-6421,57157,63140,34955,40296
(주)광무,029480,2020/12,-19142,-19326,37073,38625,12870,14403
(주)광무,029480,2021/12,-880,-758,99477,104044,48864,53084
(주)구스앤홈,329050,2017/12,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,
(주)구영테크,053270,2011/12,986,-648,94941,149471,66978,112838
(주)구영테크,053270,2012/12,1250,1633,109441,161163,80138,124476
(주)구영테크,053270,2013/12,1137,2180,97549,149230,66787,110206
(주)구영테크,053270,2014/12,1327,2237,101546,155857,59346,103644
(주)구영테크,053270,2015/12,3196,4159,102761,161331,58695,104930
(주)구영테크,053270,2016/12,3920,2542,108895,166748,62465,108968
(주)구영테크,053270,2017/12,1239,1357,139584,187010,92482,131199
(주)구영테크,053270,2018/12,3912,5921,146492,202573,88631,133745
(주)구영테크,053270,2019/12,1558,3387,141035,206570,82366,134866
(주)구영테크,053270,2020/12,902,727,151133,211767,92403,142260
(주)구영테크,053270,2021/12,2853,3129,150871,222891,88931,146619
(주)국보디자인,066620,2011/12,6608,6056,79203,80201,30731,32057
(주)국보디자인,066620,2012/12,8632,8281,92873,92878,34590,35313
(주)국보디자인,066620,2013/12,9418,10936,121964,127902,57018,62304
(주)국보디자인,066620,2014/12,7901,10942,125686,132012,55234,57661
(주)국보디자인,066620,2015/12,6948,10768,129038,141090,53571,57782
(주)국보디자인,066620,2016/12,11905,10738,150831,158452,70548,71524
(주)국보디자인,066620,2017/12,14150,13341,158318,164382,63937,65098
(주)국보디자인,066620,2018/12,14099,13873,161751,175037,58152,66436
(주)국보디자인,066620,2019/12,9509,15943,197762,222515,85686,99151
(주)국보디자인,066620,2020/12,16488,20100,248699,269228,96279,103204
(주)국보디자인,066620,2021/12,17110,19542,324448,345307,115666,117860
(주)국순당,043650,2011/12,5641,5264,193849,199135,19804,21021
(주)국순당,043650,2012/12,5123,6186,203490,209730,17184,18104
(주)국순당,043650,2013/12,2347,5743,203200,218115,17214,23547
(주)국순당,043650,2014/12,1998,3463,205783,217480,18944,20669
(주)국순당,043650,2015/12,-4855,-3529,203528,216588,17410,18421
(주)국순당,043650,2016/12,-2213,-2761,200077,213005,16889,18986
(주)국순당,043650,2017/12,9847,9688,208832,242200,17086,20661
(주)국순당,043650,2018/12,15171,-2977,221230,238619,17730,22940
(주)국순당,043650,2019/12,572,-8270,210007,252484,13083,47526
(주)국순당,043650,2020/12,15418,18662,226012,244883,15763,22380
(주)국순당,043650,2021/12,16884,21549,244356,267165,20262,24343
(주)국영지앤엠,006050,2011/12,-1753,,61023,,28290,
(주)국영지앤엠,006050,2012/12,4832,,60198,,14237,
(주)국영지앤엠,006050,2013/12,953,,63108,,16763,
(주)국영지앤엠,006050,2014/12,396,,58996,,11755,
(주)국영지앤엠,006050,2015/12,-534,,63713,,14741,
(주)국영지앤엠,006050,2016/12,386,,65671,,15113,
(주)국영지앤엠,006050,2017/12,1432,,66101,,13489,
(주)국영지앤엠,006050,2018/12,-355,,60335,,8587,
(주)국영지앤엠,006050,2019/12,1090,,68657,,15831,
(주)국영지앤엠,006050,2020/12,-1305,,70028,,19015,
(주)국영지앤엠,006050,2021/12,-4860,,66277,,20125,
(주)국전약품,307750,2018/12,,,,,,
(주)국전약품,307750,2019/12,,,,,,
(주)국전약품,307750,2020/12,-3317,,57802,,25572,
(주)국전약품,307750,2021/12,4038,,106989,,23838,
(주)그래디언트,035080,2011/12,-4906,-12292,521750,777654,187176,448782
(주)그래디언트,035080,2012/12,15794,12756,482182,739985,70525,343327
(주)그래디언트,035080,2013/12,-9665,23781,473264,1598504,70932,846564
(주)그래디언트,035080,2014/12,626,31456,455860,1920351,35815,1020008
(주)그래디언트,035080,2015/12,13113,42995,475793,2106702,44314,1202893
(주)그래디언트,035080,2016/12,-40599,-39011,404583,2073537,15288,1233206
(주)그래디언트,035080,2017/12,-54754,-63635,344023,1804533,15303,1062216
(주)그래디언트,035080,2018/12,4405,-4195,339457,1809664,14239,1095183
(주)그래디언트,035080,2019/12,4125,6507,336146,1780052,16058,1110465
(주)그래디언트,035080,2020/12,806,-25808,548440,1602860,211851,993086
(주)그래디언트,035080,2021/12,-17403,-4593,606037,1654218,273987,1065129
(주)그리티,204020,2011/12,,,,,,
(주)그리티,204020,2012/12,,,,,,
(주)그리티,204020,2013/12,,,,,,
(주)그리티,204020,2014/12,6541,7133,45694,51545,5862,10609
(주)그리티,204020,2015/12,5345,5889,49393,55746,5515,10230
(주)그리티,204020,2016/12,4858,3293,55731,64735,8067,15346
(주)그리티,204020,2017/12,7757,7716,62494,73263,8038,17193
(주)그리티,204020,2018/12,6019,4811,86557,95755,12506,21294
(주)그리티,204020,2019/12,2627,1563,86804,92152,11970,17970
(주)그리티,204020,2020/12,1540,837,82600,87285,9319,15331
(주)그리티,204020,2021/12,-10471,-7051,73835,86545,9348,19956
(주)그린플러스,186230,2011/12,,,,,,
(주)그린플러스,186230,2012/12,,,,,,
(주)그린플러스,186230,2013/12,,,,,,
(주)그린플러스,186230,2014/12,,,,,,
(주)그린플러스,186230,2015/12,,,,,,
(주)그린플러스,186230,2016/12,,,,,,
(주)그린플러스,186230,2017/12,,,,,,
(주)그린플러스,186230,2018/12,2213,2270,48675,63717,25199,39722
(주)그린플러스,186230,2019/12,2436,2533,56588,72322,19815,34931
(주)그린플러스,186230,2020/12,-1930,-2139,72750,89111,39301,55077
(주)그린플러스,186230,2021/12,-4044,-4744,87360,101659,26971,40850
(주)극동자동화,272420,2014/12,,,,,,
(주)극동자동화,272420,2015/12,,,,,,
(주)극동자동화,272420,2016/12,,,,,,
(주)극동자동화,272420,2017/12,,,,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,2302,3522,49715,52575,23360,24981
(주)글로벌스탠다드테크놀로지,083450,2012/12,5404,7004,49051,53825,15672,17816
(주)글로벌스탠다드테크놀로지,083450,2013/12,5076,5926,57053,62627,17883,19997
(주)글로벌스탠다드테크놀로지,083450,2014/12,6152,7881,63318,69972,17693,19126
(주)글로벌스탠다드테크놀로지,083450,2015/12,3910,5704,60771,69692,11103,13016
(주)글로벌스탠다드테크놀로지,083450,2016/12,3758,4644,78441,89406,25337,28626
(주)글로벌스탠다드테크놀로지,083450,2017/12,13135,15756,88966,102401,21688,24125
(주)글로벌스탠다드테크놀로지,083450,2018/12,7748,10303,87524,105027,14883,19220
(주)글로벌스탠다드테크놀로지,083450,2019/12,17027,17968,120984,136752,30581,33441
(주)글로벌스탠다드테크놀로지,083450,2020/12,11352,15491,120934,141836,22464,28099
(주)글로벌스탠다드테크놀로지,083450,2021/12,32057,38970,176057,206243,47769,54880
(주)금빛,045890,2011/12,-27199,-32606,106200,109326,61953,65374
(주)금빛,045890,2012/12,3054,-6354,99334,98231,51978,57147
(주)금빛,045890,2013/12,59,2893,105376,103969,58285,60540
(주)금빛,045890,2014/12,-2004,1631,108557,109183,63451,63963
(주)금빛,045890,2015/12,3410,3066,111805,110881,62496,62284
(주)금빛,045890,2016/12,2646,2645,111036,110713,57792,57793
(주)금빛,045890,2017/12,-1938,-5396,114739,109637,66323,64779
(주)금빛,045890,2018/12,-7248,-6645,109609,102613,56905,52785
(주)금빛,045890,2019/12,-38889,-36824,101724,102849,69529,71820
(주)금빛,045890,2020/12,-14094,-17792,117537,122855,62621,72495
(주)금오하이텍,165270,2011/12,,,,,,
(주)금오하이텍,165270,2012/12,,,,,,
(주)금오하이텍,165270,2013/12,,,,,,
(주)금오하이텍,165270,2014/12,,,,,,
(주)금오하이텍,165270,2015/12,,,,,,
(주)금오하이텍,165270,2016/12,,,,,,
(주)금화피에스시,036190,2011/12,15183,,94174,,17829,
(주)금화피에스시,036190,2012/12,18486,,105483,,13178,
(주)금화피에스시,036190,2013/12,21184,22786,135181,142932,21980,25315
(주)금화피에스시,036190,2014/12,20636,21398,146361,158058,19483,24532
(주)금화피에스시,036190,2015/12,21705,22677,175086,189002,32830,39951
(주)금화피에스시,036190,2016/12,22054,23918,197558,215036,37568,46326
(주)금화피에스시,036190,2017/12,20754,20154,216252,231639,39948,47412
(주)금화피에스시,036190,2018/12,38175,39650,242311,262516,30944,41789
(주)금화피에스시,036190,2019/12,25283,27677,255149,281693,27407,42283
(주)금화피에스시,036190,2020/12,21658,29941,263069,294094,26152,36535
(주)금화피에스시,036190,2021/12,22302,23130,275117,307749,22559,33364
(주)기가레인,049080,2013/12,11073,10828,122926,122524,60330,60138
(주)기가레인,049080,2014/12,9065,7764,133238,131924,56159,56351
(주)기가레인,049080,2015/12,-14035,-13369,148551,151758,83090,86013
(주)기가레인,049080,2016/12,-10794,-10347,152640,155732,95577,98135
(주)기가레인,049080,2017/12,-402,-921,179756,181628,90732,92959
(주)기가레인,049080,2018/12,-23732,-21636,176296,179114,109418,110554
(주)기가레인,049080,2019/12,-44243,-46060,115539,117798,87652,89734
(주)기가레인,049080,2020/12,-25138,-25803,100666,104198,49877,53851
(주)기가레인,049080,2021/12,4258,3647,93644,98823,30639,36616
(주)기산텔레콤,035460,2011/12,-8845,-12092,59417,86259,26938,52371
(주)기산텔레콤,035460,2012/12,1433,-1882,46588,73235,12670,41718
(주)기산텔레콤,035460,2013/12,2049,3929,57255,78811,21167,42294
(주)기산텔레콤,035460,2014/12,656,2745,54284,78053,17855,39546
(주)기산텔레콤,035460,2015/12,565,1702,53901,76013,15178,33753
(주)기산텔레콤,035460,2016/12,-1734,-2640,47117,74210,9697,34339
(주)기산텔레콤,035460,2017/12,-2085,-5539,44554,70137,9116,35145
(주)기산텔레콤,035460,2018/12,-5791,-3328,34219,56180,4973,24539
(주)기산텔레콤,035460,2019/12,2205,3498,40026,66790,8646,32099
(주)기산텔레콤,035460,2020/12,-1507,338,42846,70833,12956,35748
(주)기산텔레콤,035460,2021/12,-2535,-679,36650,70596,9159,36117
(주)까스텔바작,308100,2016/12,-1398,-1637,63047,63784,17231,18182
(주)까스텔바작,308100,2017/12,6408,6356,64179,64904,11954,12993
(주)까스텔바작,308100,2018/12,11322,11215,78840,79267,15646,16480
(주)까스텔바작,308100,2019/12,7090,6870,88614,89005,11302,12327
(주)까스텔바작,308100,2020/12,2652,4796,100112,103688,20146,22212
(주)까스텔바작,308100,2021/12,-4596,-6731,116929,116088,44192,46097
(주)꿈비,407400,2021/12,1808,1731,11534,11537,6046,6126
(주)나노,187790,2014/12,,,,,,
(주)나노,187790,2015/12,-10307,-8991,72593,99496,40746,56836
(주)나노,187790,2016/12,-18009,-24389,57351,83441,30283,49122
(주)나노,187790,2017/12,-2830,89,59150,91575,22132,46672
(주)나노,187790,2018/12,-5617,-467,66624,108261,22140,48796
(주)나노,187790,2019/12,476,-299,73016,116141,25024,54119
(주)나노,187790,2020/12,-4657,-10436,69834,109624,26597,58003
(주)나노,187790,2021/12,-16407,-15264,58231,71064,29077,36231
(주)나노브릭,286750,2015/12,,,,,,
(주)나노브릭,286750,2016/12,,,,,,
(주)나노브릭,286750,2017/12,-4415,-3771,17993,18335,17582,17601
(주)나노브릭,286750,2018/12,1184,859,18090,18088,16566,16564
(주)나노브릭,286750,2019/12,-763,-781,24552,24552,10402,10402
(주)나노브릭,286750,2020/12,-92,,22122,,7992,
(주)나노브릭,286750,2021/12,-2824,,32995,,20585,
(주)나노신소재,121600,2011/12,4708,4688,73039,73056,14860,14863
(주)나노신소재,121600,2012/12,-1347,-1447,68451,68352,11755,11759
(주)나노신소재,121600,2013/12,1130,1167,67591,67524,9658,9663
(주)나노신소재,121600,2014/12,3733,3794,71673,71679,10096,10100
(주)나노신소재,121600,2015/12,7724,7656,82686,83449,8753,9564
(주)나노신소재,121600,2016/12,5955,5940,84289,84239,6645,6650
(주)나노신소재,121600,2017/12,6796,6828,89014,88964,6046,6050
(주)나노신소재,121600,2018/12,7578,7672,98057,98480,9254,9625
(주)나노신소재,121600,2019/12,5849,5801,101777,101894,8003,8106
(주)나노신소재,121600,2020/12,1765,1650,106596,106629,14309,14484
(주)나노신소재,121600,2021/12,8253,7430,121663,121249,21257,21429
(주)나노엔텍,039860,2011/12,-11867,-12203,50081,49649,20869,20901
(주)나노엔텍,039860,2012/12,-6418,-5883,44444,44437,21461,21461
(주)나노엔텍,039860,2013/12,333,-1237,46319,44804,21223,21226
(주)나노엔텍,039860,2014/12,-1173,-2464,46186,43261,7755,7759
(주)나노엔텍,039860,2015/12,-4272,-7471,58551,52687,9519,14279
(주)나노엔텍,039860,2016/12,-17340,-14799,47793,45708,20123,20131
(주)나노엔텍,039860,2017/12,-799,-2072,45401,42370,18612,18639
(주)나노엔텍,039860,2018/12,3684,3308,45657,42162,6941,7011
(주)나노엔텍,039860,2019/12,6191,5750,50555,46639,5443,5614
(주)나노엔텍,039860,2020/12,2628,2737,55778,52815,6624,7328
(주)나노엔텍,039860,2021/12,7643,7321,65956,62455,9355,10114
(주)나노트로닉스,010670,2011/12,-926,-1701,49592,48556,25113,28291
(주)나노트로닉스,010670,2012/12,-4935,-3183,52490,51585,26713,28528
(주)나래나노텍,137080,2011/12,,,,,,
(주)나래나노텍,137080,2012/12,,,,,,
(주)나래나노텍,137080,2013/12,,,,,,
(주)나래나노텍,137080,2014/12,,,,,,
(주)나래나노텍,137080,2015/12,,,,,,
(주)나래나노텍,137080,2016/12,,,,,,
(주)나래나노텍,137080,2017/12,-18645,,133667,,82054,
(주)나래나노텍,137080,2018/12,4968,,119651,,64351,
(주)나래나노텍,137080,2019/12,-10895,,122982,,78602,
(주)나래나노텍,137080,2020/12,2273,2233,126972,126947,81009,81027
(주)나래나노텍,137080,2021/12,17412,17472,149499,149522,86963,86948
(주)나무가,190510,2011/12,,,,,,
(주)나무가,190510,2012/12,-1891,1139,42172,64134,41087,62330
(주)나무가,190510,2013/12,188,2143,66886,91254,52820,74504
(주)나무가,190510,2014/12,5313,1822,99494,135552,79652,116183
(주)나무가,190510,2015/12,7764,8485,147631,203858,87945,143584
(주)나무가,190510,2016/12,-3614,-4188,114797,195912,43533,124202
(주)나무가,190510,2017/12,-43568,-40919,73845,142414,45738,111825
(주)나무가,190510,2018/12,10339,3585,78001,118768,39489,83345
(주)나무가,190510,2019/12,3215,-586,157114,194519,107468,150250
(주)나무가,190510,2020/12,-1498,-7891,161568,183374,110477,145002
(주)나무가,190510,2021/12,8361,15990,152467,173606,92459,116479
(주)나스미디어,089600,2011/12,6004,,92384,,53744,
(주)나스미디어,089600,2012/12,6454,,90675,,47053,
(주)나스미디어,089600,2013/12,5615,,97140,,40943,
(주)나스미디어,089600,2014/12,7956,,97502,,34933,
(주)나스미디어,089600,2015/12,9916,,141733,,72202,
(주)나스미디어,089600,2016/12,11500,11972,192275,263925,94047,159502
(주)나스미디어,089600,2017/12,20238,26676,239540,315967,123701,188197
(주)나스미디어,089600,2018/12,15458,20596,229197,303112,104288,161164
(주)나스미디어,089600,2019/12,18656,22484,279587,356236,147036,203105
(주)나스미디어,089600,2020/12,22452,23134,322623,422039,173075,221371
(주)나스미디어,089600,2021/12,24383,27120,369204,490394,201929,268618
(주)나이벡,138610,2011/12,-1835,,17401,,7099,
(주)나이벡,138610,2012/12,-1407,,16460,,7603,
(주)나이벡,138610,2013/12,-3850,,17055,,11232,
(주)나이벡,138610,2014/12,-3621,,14148,,9069,
(주)나이벡,138610,2015/12,-2426,,19429,,8611,
(주)나이벡,138610,2016/12,-3027,,22970,,13128,
(주)나이벡,138610,2017/12,-2568,,25750,,13389,
(주)나이벡,138610,2018/12,-4146,,22318,,11742,
(주)나이벡,138610,2019/12,-2727,,35735,,8331,
(주)나이벡,138610,2020/12,-3638,,53080,,21241,
(주)나이벡,138610,2021/12,-5740,,53277,,25933,
(주)나이스디앤비,130580,2011/12,2483,,22642,,4200,
(주)나이스디앤비,130580,2012/12,3025,,24791,,4270,
(주)나이스디앤비,130580,2013/12,3013,,27132,,4311,
(주)나이스디앤비,130580,2014/12,3626,,31070,,5666,
(주)나이스디앤비,130580,2015/12,4270,4367,34807,37169,6234,7276
(주)나이스디앤비,130580,2016/12,4342,5729,37344,40466,5112,6735
(주)나이스디앤비,130580,2017/12,4961,6414,43008,46928,7396,8392
(주)나이스디앤비,130580,2018/12,7840,9300,51102,56660,10147,11461
(주)나이스디앤비,130580,2019/12,9098,11280,60523,78676,13686,18585
(주)나이스디앤비,130580,2020/12,10451,11291,68803,87281,14362,18778
(주)나이스디앤비,130580,2021/12,11989,14027,79872,103462,16874,24109
(주)나이코,192240,2012/12,,,,,,
(주)나이코,192240,2013/12,,,,,,
(주)나이코,192240,2014/12,,,,,,
(주)나이코,192240,2015/12,,,,,,
(주)나인테크,267320,2017/12,,,,,,
(주)나인테크,267320,2018/12,,,,,,
(주)나인테크,267320,2019/12,,,,,,
(주)나인테크,267320,2020/12,-1231,,73527,,45108,
(주)나인테크,267320,2021/12,-5897,,81906,,56242,
(주)내츄럴엔도텍,168330,2012/12,4394,,15856,,6905,
(주)내츄럴엔도텍,168330,2013/12,19280,,68290,,17510,
(주)내츄럴엔도텍,168330,2014/12,20761,,88718,,17070,
(주)내츄럴엔도텍,168330,2015/12,-16897,-15645,68049,69433,18967,18970
(주)내츄럴엔도텍,168330,2016/12,-12887,-13177,84785,85875,38576,38578
(주)내츄럴엔도텍,168330,2017/12,-9645,-8861,76004,85683,30243,30963
(주)내츄럴엔도텍,168330,2018/12,-16506,-23238,58377,61166,24115,24679
(주)내츄럴엔도텍,168330,2019/12,-15323,-16008,46385,48784,27447,28301
