회사명,거래소코드,회계년도,[제조]      유형자산(요약)(IFRS)(백만원),[제조]      유형자산(요약)(IFRS연결)(백만원),[제조]매출액(수익)(요약)(IFRS)(백만원),[제조]매출액(수익)(요약)(IFRS연결)(백만원),[제조]자본(*)(요약)(IFRS)(백만원),[제조]자본(*)(요약)(IFRS연결)(백만원),[제조]자산(*)(요약)(IFRS)(백만원),[제조]자산(*)(요약)(IFRS연결)(백만원),[제조]* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원),[제조]* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원)
(주)고바이오랩,348150,2021/12,5737,5737,2893,2893,87385,90589,100242,105285,-11047,-16337
(주)고영테크놀러지,098460,2011/12,14870,15042,80201,86131,70382,69623,87018,87006,19598,18821
(주)고영테크놀러지,098460,2012/12,15337,15548,100791,107842,84091,83401,103020,103352,20358,21443
(주)고영테크놀러지,098460,2013/12,14690,14825,103934,111903,100052,98320,121329,120952,17779,16773
(주)고영테크놀러지,098460,2014/12,19813,19959,135532,142840,118349,115835,141873,141720,27729,28155
(주)고영테크놀러지,098460,2015/12,19341,19713,138555,145904,133571,131476,160171,158858,26173,23450
(주)고영테크놀러지,098460,2016/12,23463,23842,153255,171794,157573,157268,194333,195121,31040,33184
(주)고영테크놀러지,098460,2017/12,24159,25338,188935,203369,164836,161317,205696,205207,45513,43749
(주)고영테크놀러지,098460,2018/12,32378,33118,219818,238209,229271,225867,279985,279059,46197,45983
(주)고영테크놀러지,098460,2019/12,35418,37284,209481,222057,252021,243669,308020,305481,40058,33331
(주)고영테크놀러지,098460,2020/12,34080,35811,157078,179545,252663,246058,303115,302574,13573,15843
(주)고영테크놀러지,098460,2021/12,38074,39712,230144,247301,285441,280399,366775,368329,43786,41351
(주)골드앤에스,035290,2011/12,995,1028,47523,47523,22638,22437,46347,46677,1392,1295
(주)골드앤에스,035290,2012/12,851,988,43889,43889,26253,25518,51063,51951,-2363,-2331
(주)골드앤에스,035290,2013/12,810,23606,36608,39549,9813,13127,34509,51443,-4982,-6493
(주)골드앤에스,035290,2014/12,503,22767,29429,31287,9084,12083,28884,46528,-2319,-3080
(주)골드앤에스,035290,2015/12,300,331,22198,22198,14992,15160,23598,24102,1062,1144
(주)골드앤에스,035290,2016/12,194,204,15893,15893,14102,14269,18296,18672,390,402
(주)골드앤에스,035290,2017/12,337,339,12802,12802,13105,13346,16995,17174,-3690,-3694
(주)골드앤에스,035290,2018/12,11191,11191,8680,8680,13867,13780,42473,42473,-4559,-4667
(주)골드앤에스,035290,2019/12,3723,3723,7643,7643,-5001,-5092,16096,16096,-7142,-7142
(주)골드앤에스,035290,2020/12,3594,3594,4139,4139,14489,14398,20634,20634,-2343,-2343
(주)골드앤에스,035290,2021/12,3355,3355,13507,13507,15266,15176,26145,26145,1356,1356
(주)골드퍼시픽,038530,2011/12,10070,,11237,,21830,,27474,,1726,
(주)골드퍼시픽,038530,2012/12,8743,,10491,,22928,,29862,,727,
(주)골드퍼시픽,038530,2013/12,7249,9883,6489,7168,17116,16191,30518,33688,-5585,-6138
(주)골드퍼시픽,038530,2014/12,5643,9909,4855,16486,16902,16568,31936,41949,-5975,-5819
(주)골드퍼시픽,038530,2015/12,2580,2580,6121,18635,20116,21193,27496,28573,-8198,-8243
(주)골드퍼시픽,038530,2016/12,1333,,9588,,1890,,11122,,-8525,
(주)골드퍼시픽,038530,2017/12,1297,,5031,,5364,,26568,,938,
(주)골드퍼시픽,038530,2018/12,83,95,5581,5708,20087,20087,37288,37825,-506,-904
(주)골드퍼시픽,038530,2019/12,909,,11323,,21069,,72946,,-3421,
(주)골드퍼시픽,038530,2020/12,703,,14335,,59738,,71420,,685,
(주)골드퍼시픽,038530,2021/12,905,,8722,,62984,,87389,,-4780,
(주)골프존,215000,2015/12,74040,77872,184085,201560,105063,108854,171629,178132,47628,49582
(주)골프존,215000,2016/12,69487,73081,196865,216964,115887,120649,177636,187914,43961,45442
(주)골프존,215000,2017/12,66801,71606,171859,200105,181395,189382,239012,253672,33529,37458
(주)골프존,215000,2018/12,81754,83643,191571,198705,197437,194920,254579,254058,29086,28160
(주)골프존,215000,2019/12,110267,115927,239052,247018,205530,200043,304861,312587,36199,32297
(주)골프존,215000,2020/12,111534,117374,281031,298524,228577,225571,348043,367294,51583,51573
(주)골프존,215000,2021/12,105419,114292,413299,440308,288696,291902,453214,483601,105539,107672
(주)골프존뉴딘홀딩스,121440,2011/12,49240,52306,209788,215794,348104,348969,373246,378054,54712,54442
(주)골프존뉴딘홀딩스,121440,2012/12,136357,198232,276342,289629,411000,411637,512615,540923,73882,69003
(주)골프존뉴딘홀딩스,121440,2013/12,136082,222286,340005,365126,427556,424544,589947,637840,84448,80489
(주)골프존뉴딘홀딩스,121440,2014/12,178118,454297,387066,429590,473636,486386,586599,762037,101367,102394
(주)골프존뉴딘홀딩스,121440,2015/12,98347,401308,29389,164536,551703,551360,585663,767325,-13804,-9350
(주)골프존뉴딘홀딩스,121440,2016/12,98553,398580,27652,243275,506841,528087,561893,760773,-5563,37006
(주)골프존뉴딘홀딩스,121440,2017/12,92901,394255,23500,213757,480074,500913,536245,756501,-6824,18423
(주)골프존뉴딘홀딩스,121440,2018/12,83634,380013,16100,223037,484481,485970,563387,774743,-11006,1114
(주)골프존뉴딘홀딩스,121440,2019/12,70003,360514,26897,228936,450069,447198,537526,776385,-17956,-3625
(주)골프존뉴딘홀딩스,121440,2020/12,67580,75950,57481,292026,468244,469481,562129,795769,36116,30000
(주)골프존뉴딘홀딩스,121440,2021/12,66591,77492,80140,417687,597768,601360,702772,939418,59855,73193
(주)공구우먼,366030,2017/12,,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,,
(주)공구우먼,366030,2020/12,11069,,32683,,21255,,23980,,5379,
(주)공구우먼,366030,2021/12,11654,,47320,,27119,,31551,,10327,
(주)광림,014200,2011/12,23760,,106495,,56677,,86353,,5264,
(주)광림,014200,2012/12,23876,,85323,,63502,,89766,,1322,
(주)광림,014200,2013/12,23947,,103442,,64797,,101593,,3311,
(주)광림,014200,2014/12,23724,56740,92554,231446,66259,128971,120284,244886,1911,2185
(주)광림,014200,2015/12,24453,,237223,,80899,,146339,,1327,
(주)광림,014200,2016/12,25675,70933,87303,87303,90221,113506,152080,229597,172,172
(주)광림,014200,2017/12,26241,58197,99421,135192,176556,107691,369582,208058,2304,-12370
(주)광림,014200,2018/12,24128,59154,75493,136595,120931,90075,236379,187813,2203,-1044
(주)광림,014200,2019/12,23628,60315,93241,145864,60749,90772,193569,252468,3819,-10983
(주)광림,014200,2020/12,26645,63699,104253,161220,148098,81613,234833,212123,8225,8845
(주)광림,014200,2021/12,29324,53524,136953,188435,204226,125780,272822,268834,14147,11278
(주)광무,029480,2011/12,17456,18151,50359,51755,49296,37832,85836,75946,-11401,-13536
(주)광무,029480,2012/12,12347,12486,40407,41179,36518,29507,60163,55789,-5615,-5777
(주)광무,029480,2013/12,10935,11031,10105,20534,11347,8787,28890,35385,-6899,-13905
(주)광무,029480,2014/12,8658,,38410,,8505,,27863,,1422,
(주)광무,029480,2015/12,8109,,17648,,7744,,21133,,-620,
(주)광무,029480,2016/12,8054,,26430,,8053,,29090,,1294,
(주)광무,029480,2017/12,7753,,21541,,13552,,28951,,200,
(주)광무,029480,2018/12,7904,8424,20707,23075,9695,10729,26017,28432,-672,-1335
(주)광무,029480,2019/12,2005,3934,25244,36484,22202,22844,57157,63140,-2260,-3013
(주)광무,029480,2020/12,1437,2075,25007,25176,24204,24222,37073,38625,-3069,-3573
(주)광무,029480,2021/12,1746,2945,18173,18920,50613,50960,99477,104044,-352,-725
(주)구스앤홈,329050,2017/12,,,,,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,,,,,
(주)구영테크,053270,2011/12,26074,79063,62528,147832,27963,36633,94941,149471,5190,5159
(주)구영테크,053270,2012/12,31960,83304,65451,155789,29302,36687,109441,161163,4839,7488
(주)구영테크,053270,2013/12,32041,82458,76283,172747,30762,39024,97549,149230,4463,7492
(주)구영테크,053270,2014/12,31370,85581,77800,170529,42200,52213,101546,155857,2782,5438
(주)구영테크,053270,2015/12,33224,90371,87109,172083,44067,56401,102761,161331,3530,6145
(주)구영테크,053270,2016/12,37856,97159,75320,148302,46430,57780,108895,166748,4114,4338
(주)구영테크,053270,2017/12,56419,108247,74298,149833,47102,55811,139584,187010,3025,5691
(주)구영테크,053270,2018/12,71616,131119,81929,195238,57861,68828,146492,202573,1639,5379
(주)구영테크,053270,2019/12,71525,123267,93133,230853,58669,71704,141035,206570,2514,5239
(주)구영테크,053270,2020/12,74317,131927,84841,196661,58730,69508,151133,211767,2377,2939
(주)구영테크,053270,2021/12,78656,140625,101637,203398,61940,76272,150871,222891,3117,3995
(주)국보디자인,066620,2011/12,1453,1463,123203,130690,48472,48144,79203,80201,8489,8573
(주)국보디자인,066620,2012/12,2231,2235,118459,119403,58283,57565,92873,92878,10776,10501
(주)국보디자인,066620,2013/12,2190,2193,153216,163519,64946,65598,121964,127902,10440,11768
(주)국보디자인,066620,2014/12,2596,2597,158269,176374,70452,74351,125686,132012,9851,13346
(주)국보디자인,066620,2015/12,6908,6944,157658,192608,75467,83307,129038,141090,6840,12789
(주)국보디자인,066620,2016/12,7420,7448,191621,201410,80282,86929,150831,158452,13350,10516
(주)국보디자인,066620,2017/12,7245,7535,262522,270658,94381,99284,158318,164382,23991,23216
(주)국보디자인,066620,2018/12,7072,7133,231093,254260,103599,108600,161751,175037,16747,16463
(주)국보디자인,066620,2019/12,8367,8403,237055,269006,112076,123364,197762,222515,10506,11557
(주)국보디자인,066620,2020/12,8049,8335,253811,288139,152421,166024,248699,269228,21478,25743
(주)국보디자인,066620,2021/12,8136,9218,295474,323028,208781,227447,324448,345307,22375,25746
(주)국순당,043650,2011/12,77006,84687,124280,127686,174045,178114,193849,199135,5669,5344
(주)국순당,043650,2012/12,74415,82475,115147,118698,186306,191626,203490,209730,6794,5651
(주)국순당,043650,2013/12,71314,79653,96141,99174,185986,194568,203200,218115,1188,1441
(주)국순당,043650,2014/12,63633,72019,89174,91864,186838,196811,205783,217480,882,1082
(주)국순당,043650,2015/12,60757,69161,74955,77443,186118,198167,203528,216588,-8306,-8198
(주)국순당,043650,2016/12,56089,64895,68426,69701,183189,194019,200077,213005,-5457,-6488
(주)국순당,043650,2017/12,49399,58040,60087,62761,191746,221539,208832,242200,-3585,-4263
(주)국순당,043650,2018/12,58144,66740,52679,61496,203500,215680,221230,238619,-2752,-2994
(주)국순당,043650,2019/12,45387,78686,48045,102096,196924,204959,210007,252484,-5441,-5967
(주)국순당,043650,2020/12,43433,51422,50346,52947,210249,222502,226012,244883,5089,4582
(주)국순당,043650,2021/12,38323,45156,61741,65221,224095,242822,244356,267165,8342,8467
(주)국영지앤엠,006050,2011/12,31308,,42570,,32733,,61023,,-2948,
(주)국영지앤엠,006050,2012/12,32062,,43782,,45960,,60198,,-1491,
(주)국영지앤엠,006050,2013/12,31748,,55790,,46345,,63108,,1333,
(주)국영지앤엠,006050,2014/12,32414,,51492,,47241,,58996,,1587,
(주)국영지앤엠,006050,2015/12,31601,,40108,,48973,,63713,,-1039,
(주)국영지앤엠,006050,2016/12,31778,,51457,,50558,,65671,,249,
(주)국영지앤엠,006050,2017/12,31770,,62862,,52612,,66101,,1410,
(주)국영지앤엠,006050,2018/12,30512,,56301,,51748,,60335,,-920,
(주)국영지앤엠,006050,2019/12,31059,,73013,,52826,,68657,,991,
(주)국영지앤엠,006050,2020/12,31106,,64386,,51013,,70028,,-2061,
(주)국영지앤엠,006050,2021/12,28116,,55030,,46152,,66277,,-6740,
(주)국전약품,307750,2018/12,,,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,,,
(주)국전약품,307750,2020/12,14137,,80623,,32230,,57802,,5790,
(주)국전약품,307750,2021/12,23705,,85354,,83150,,106989,,6135,
(주)그래디언트,035080,2011/12,1053,43073,9501,428572,334574,328872,521750,777654,-7828,-17907
(주)그래디언트,035080,2012/12,545,51884,11151,454225,411657,396658,482182,739985,-708,14021
(주)그래디언트,035080,2013/12,331,59554,7940,2930522,402332,751940,473264,1598504,309,47743
(주)그래디언트,035080,2014/12,452,58030,7754,3135027,420045,900343,455860,1920351,161,51010
(주)그래디언트,035080,2015/12,382,56944,12871,3536849,431479,903809,475793,2106702,5842,65149
(주)그래디언트,035080,2016/12,341,57344,16517,3845761,389296,840331,404583,2073537,10734,49505
(주)그래디언트,035080,2017/12,396,58979,12485,3541487,328720,742317,344023,1804533,6033,29816
(주)그래디언트,035080,2018/12,246,66690,12238,3440906,325218,714481,339457,1809664,5963,19964
(주)그래디언트,035080,2019/12,2819,134794,8720,3412334,320088,669587,336146,1780052,3788,45164
(주)그래디언트,035080,2020/12,81404,141093,169182,3169208,336589,609774,548440,1602860,-1869,-11151
(주)그래디언트,035080,2021/12,430,33351,15158,3115778,332050,589089,606037,1654218,10435,2488
(주)그리티,204020,2011/12,,,,,,,,,,
(주)그리티,204020,2012/12,,,,,,,,,,
(주)그리티,204020,2013/12,,,,,,,,,,
(주)그리티,204020,2014/12,694,776,99246,99924,39832,40937,45694,51545,9788,10909
(주)그리티,204020,2015/12,785,876,101842,102486,43878,45516,49393,55746,6394,7184
(주)그리티,204020,2016/12,976,1535,104971,105600,47664,49389,55731,64735,5806,4665
(주)그리티,204020,2017/12,863,1281,124300,125800,54456,56070,62494,73263,9616,10144
(주)그리티,204020,2018/12,565,872,117056,119260,74051,74461,86557,95755,9290,8045
(주)그리티,204020,2019/12,2197,2970,120984,123080,74834,74181,86804,92152,4419,2914
(주)그리티,204020,2020/12,3837,4019,119858,123462,73281,71954,82600,87285,2592,2148
(주)그리티,204020,2021/12,4224,9684,104116,108705,64487,66589,73835,86545,-6805,-7556
(주)그린플러스,186230,2011/12,,,,,,,,,,
(주)그린플러스,186230,2012/12,,,,,,,,,,
(주)그린플러스,186230,2013/12,,,,,,,,,,
(주)그린플러스,186230,2014/12,,,,,,,,,,
(주)그린플러스,186230,2015/12,,,,,,,,,,
(주)그린플러스,186230,2016/12,,,,,,,,,,
(주)그린플러스,186230,2017/12,,,,,,,,,,
(주)그린플러스,186230,2018/12,17244,32689,42151,46357,23476,23996,48675,63717,4122,5107
(주)그린플러스,186230,2019/12,17300,32154,39503,48832,36773,37391,56588,72322,3431,5077
(주)그린플러스,186230,2020/12,20459,35094,55545,62676,33448,34033,72750,89111,5420,5936
(주)그린플러스,186230,2021/12,20864,35150,76238,83238,60389,60809,87360,101659,5718,5096
(주)극동자동화,272420,2014/12,,,,,,,,,,
(주)극동자동화,272420,2015/12,,,,,,,,,,
(주)극동자동화,272420,2016/12,,,,,,,,,,
(주)극동자동화,272420,2017/12,,,,,,,,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,12024,14217,40663,41504,26355,27595,49715,52575,2897,4243
(주)글로벌스탠다드테크놀로지,083450,2012/12,15427,17289,62775,64812,33379,36008,49051,53825,6165,8121
(주)글로벌스탠다드테크놀로지,083450,2013/12,15696,19295,78918,80983,39170,42630,57053,62627,6149,7530
(주)글로벌스탠다드테크놀로지,083450,2014/12,15819,19325,85993,89123,45624,50846,63318,69972,6371,8599
(주)글로벌스탠다드테크놀로지,083450,2015/12,19974,23553,80102,84423,49668,56676,60771,69692,3685,6012
(주)글로벌스탠다드테크놀로지,083450,2016/12,22575,26227,81860,90819,53104,60780,78441,89406,2388,4878
(주)글로벌스탠다드테크놀로지,083450,2017/12,28387,34288,154762,162835,67278,78276,88966,102401,19127,22261
(주)글로벌스탠다드테크놀로지,083450,2018/12,31327,38602,115619,129850,72641,85808,87524,105027,7914,10406
(주)글로벌스탠다드테크놀로지,083450,2019/12,29774,38459,150777,168232,90403,103311,120984,136752,22054,21908
(주)글로벌스탠다드테크놀로지,083450,2020/12,28768,37151,154150,166880,98470,113737,120934,141836,17111,18150
(주)글로벌스탠다드테크놀로지,083450,2021/12,34580,46971,289753,304487,128287,151364,176057,206243,39016,46407
(주)금빛,045890,2011/12,42743,43720,48909,56203,44247,43952,106200,109326,-23453,-28093
(주)금빛,045890,2012/12,42827,43267,74367,71895,47356,41084,99334,98231,4427,-4298
(주)금빛,045890,2013/12,41990,42235,75831,88415,47092,43429,105376,103969,3010,5386
(주)금빛,045890,2014/12,41862,42298,76784,82662,45106,45219,108557,109183,5409,5727
(주)금빛,045890,2015/12,41488,42212,79881,84792,49310,48597,111805,110881,4333,4267
(주)금빛,045890,2016/12,40427,41079,67259,75658,53244,52920,111036,110713,3138,4166
(주)금빛,045890,2017/12,39544,39981,65806,72904,48416,44858,114739,109637,-2982,59
(주)금빛,045890,2018/12,54740,55108,50397,53162,52704,49827,109609,102613,-18191,-16869
(주)금빛,045890,2019/12,54414,56531,55241,58651,32195,31029,101724,102849,-16663,-16109
(주)금빛,045890,2020/12,52795,61470,37325,40930,54916,50360,117537,122855,-16412,-18854
(주)금오하이텍,165270,2011/12,,,,,,,,,,
(주)금오하이텍,165270,2012/12,,,,,,,,,,
(주)금오하이텍,165270,2013/12,,,,,,,,,,
(주)금오하이텍,165270,2014/12,,,,,,,,,,
(주)금오하이텍,165270,2015/12,,,,,,,,,,
(주)금오하이텍,165270,2016/12,,,,,,,,,,
(주)금화피에스시,036190,2011/12,12870,,82738,,76345,,94174,,16449,
(주)금화피에스시,036190,2012/12,14032,,108224,,92305,,105483,,20453,
(주)금화피에스시,036190,2013/12,14635,15533,156631,166122,113201,117617,135181,142932,25744,27104
(주)금화피에스시,036190,2014/12,16432,19289,166948,189632,126878,133526,146361,158058,23012,23449
(주)금화피에스시,036190,2015/12,19035,24594,196920,235970,142257,149051,175086,189002,26233,27683
(주)금화피에스시,036190,2016/12,18821,26614,201547,235018,159990,168710,197558,215036,28241,29816
(주)금화피에스시,036190,2017/12,17662,25380,174993,205782,176304,184227,216252,231639,33131,33864
(주)금화피에스시,036190,2018/12,17430,25554,202098,233327,211366,220727,242311,262516,39495,41385
(주)금화피에스시,036190,2019/12,17527,23970,179177,209435,227743,239410,255149,281693,30433,34327
(주)금화피에스시,036190,2020/12,17599,24524,205790,235336,236917,257559,263069,294094,24210,26994
(주)금화피에스시,036190,2021/12,17910,27236,205982,238745,252558,274386,275117,307749,21172,25617
(주)기가레인,049080,2013/12,49153,50712,94056,94792,62597,62386,122926,122524,12815,12949
(주)기가레인,049080,2014/12,66101,66351,95461,95719,77079,75572,133238,131924,10513,9102
(주)기가레인,049080,2015/12,69705,72468,61255,61576,65462,65745,148551,151758,-18746,-18853
(주)기가레인,049080,2016/12,69375,72641,70397,75445,57063,57597,152640,155732,-9648,-9108
(주)기가레인,049080,2017/12,64041,66976,89874,100131,89024,88669,179756,181628,4705,5232
(주)기가레인,049080,2018/12,54575,57511,114669,124772,66878,68560,176296,179114,-1892,-2497
(주)기가레인,049080,2019/12,41844,47050,63361,72769,27888,28065,115539,117798,-26727,-29599
(주)기가레인,049080,2020/12,30670,37438,37871,44279,50789,50347,100666,104198,-13301,-14446
(주)기가레인,049080,2021/12,24220,35990,68974,71623,63005,62207,93644,98823,2798,4099
(주)기산텔레콤,035460,2011/12,453,13715,36332,65679,32479,33889,59417,86259,-7302,-10360
(주)기산텔레콤,035460,2012/12,527,2510,49241,74316,33918,31517,46588,73235,3867,1715
(주)기산텔레콤,035460,2013/12,590,2038,48367,79464,36088,36517,57255,78811,2084,5120
(주)기산텔레콤,035460,2014/12,504,2260,41613,74512,36430,38507,54284,78053,234,1747
(주)기산텔레콤,035460,2015/12,419,2005,45713,79711,38723,42259,53901,76013,151,1595
(주)기산텔레콤,035460,2016/12,349,2277,24680,59172,37420,39871,47117,74210,-1972,-2914
(주)기산텔레콤,035460,2017/12,364,2126,29568,63468,35438,34992,44554,70137,-849,-3231
(주)기산텔레콤,035460,2018/12,219,1812,24864,56446,29246,31641,34219,56180,-2790,-2927
(주)기산텔레콤,035460,2019/12,5932,9338,30546,67055,31380,34691,40026,66790,2566,3996
(주)기산텔레콤,035460,2020/12,5879,8798,26787,68812,29889,35084,42846,70833,-1164,423
(주)기산텔레콤,035460,2021/12,6269,8868,18129,61875,27490,34479,36650,70596,-3302,-993
(주)까스텔바작,308100,2016/12,3066,3116,33548,33626,45816,45602,63047,63784,5141,5129
(주)까스텔바작,308100,2017/12,2375,2424,83289,84152,52224,51911,64179,64904,11793,12021
(주)까스텔바작,308100,2018/12,2161,2197,92092,92347,63195,62787,78840,79267,14727,14574
(주)까스텔바작,308100,2019/12,2237,2533,81068,81359,77313,76678,88614,89005,9287,9019
(주)까스텔바작,308100,2020/12,2751,2983,67130,67275,79966,81476,100112,103688,7967,7535
(주)까스텔바작,308100,2021/12,5083,5297,66813,74675,72737,69991,116929,116088,-2962,-4335
(주)꿈비,407400,2021/12,4649,4653,20851,20896,5489,5411,11534,11537,2398,2327
(주)나노,187790,2014/12,,,,,,,,,,
(주)나노,187790,2015/12,23466,43869,14882,29902,31847,42660,72593,99496,-7239,-8472
(주)나노,187790,2016/12,20918,46777,18480,48175,27068,34319,57351,83441,-9411,-14162
(주)나노,187790,2017/12,17957,45961,29944,73089,37017,44902,59150,91575,1526,1662
(주)나노,187790,2018/12,16137,49638,34239,81943,44484,59465,66624,108261,783,2193
(주)나노,187790,2019/12,15095,48390,38421,73695,47993,62022,73016,116141,1382,-870
