회사명,거래소코드,회계년도,[제조]      이익잉여금(결손금)(요약)(IFRS)(백만원),[제조]      이익잉여금(결손금)(요약)(IFRS연결)(백만원),[제조]자산(*)(요약)(IFRS)(백만원),[제조]자산(*)(요약)(IFRS연결)(백만원),[제조]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[제조]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[제조]매출액(수익)(요약)(IFRS)(백만원),[제조]매출액(수익)(요약)(IFRS연결)(백만원)
(주)고영테크놀러지,098460,2017/12,159350,156696,205696,205207,7493,19941,188935,203369
(주)고영테크놀러지,098460,2018/12,192362,189588,279985,279059,44999,21765,219818,238209
(주)고영테크놀러지,098460,2019/12,217898,209875,308020,305481,26125,29168,209481,222057
(주)고영테크놀러지,098460,2020/12,218298,211989,303115,302574,37199,37796,157078,179545
(주)고영테크놀러지,098460,2021/12,249664,244321,366775,368329,43041,42480,230144,247301
(주)골드앤에스,035290,2011/12,-4832,-5019,46347,46677,8674,8629,47523,47523
(주)골드앤에스,035290,2012/12,-10875,-11494,51063,51951,2428,2479,43889,43889
(주)골드앤에스,035290,2013/12,-27316,-27013,34509,51443,-2348,-204,36608,39549
(주)골드앤에스,035290,2014/12,-35151,-35363,28884,46528,-462,-991,29429,31287
(주)골드앤에스,035290,2015/12,-15336,-15172,23598,24102,2168,1708,22198,22198
(주)골드앤에스,035290,2016/12,-15038,-14872,18296,18672,1668,1680,15893,15893
(주)골드앤에스,035290,2017/12,-24499,-24239,16995,17174,-941,361,12802,12802
(주)골드앤에스,035290,2018/12,-28426,-28501,42473,42473,-2810,-3137,8680,8680
(주)골드앤에스,035290,2019/12,-54456,-54532,16096,16096,-6247,-6507,7643,7643
(주)골드앤에스,035290,2020/12,-52811,-52887,20634,20634,-498,-498,4139,4139
(주)골드앤에스,035290,2021/12,-52041,-52116,26145,26145,2036,2036,13507,13507
(주)골드퍼시픽,038530,2011/12,1519,,27474,,1750,,11237,
(주)골드퍼시픽,038530,2012/12,1853,,29862,,-4544,,10491,
(주)골드퍼시픽,038530,2013/12,-6603,-7529,30518,33688,-4334,-2334,6489,7168
(주)골드퍼시픽,038530,2014/12,-7212,-8441,31936,41949,-5424,-4906,4855,16486
(주)골드퍼시픽,038530,2015/12,-14406,-13328,27496,28573,-7137,-5636,6121,18635
(주)골드퍼시픽,038530,2016/12,-29994,,11122,,-6550,,9588,
(주)골드퍼시픽,038530,2017/12,-30967,,26568,,-879,,5031,
(주)골드퍼시픽,038530,2018/12,-5057,-5057,37288,37825,-2028,-3627,5581,5708
(주)골드퍼시픽,038530,2019/12,-36661,,72946,,-3541,,11323,
(주)골드퍼시픽,038530,2020/12,-3569,,71420,,3315,,14335,
(주)골드퍼시픽,038530,2021/12,-23035,,87389,,-1120,,8722,
(주)골프존,215000,2015/12,33263,36533,171629,178132,41873,44346,184085,201560
(주)골프존,215000,2016/12,44086,47982,177636,187914,32718,35237,196865,216964
(주)골프존,215000,2017/12,109595,117260,239012,253672,79436,80377,171859,200105
(주)골프존,215000,2018/12,116146,122567,254579,254058,34481,32884,191571,198705
(주)골프존,215000,2019/12,124246,127177,304861,312587,38568,39502,239052,247018
(주)골프존,215000,2020/12,147654,152523,348043,367294,84564,87402,281031,298524
(주)골프존,215000,2021/12,206159,213156,453214,483601,125602,136071,413299,440308
(주)골프존뉴딘홀딩스,121440,2011/12,193159,194872,373246,378054,46695,46128,209788,215794
(주)골프존뉴딘홀딩스,121440,2012/12,255816,258978,512615,540923,73950,61270,276342,289629
(주)골프존뉴딘홀딩스,121440,2013/12,246145,247618,589947,637840,72617,63431,340005,365126
(주)골프존뉴딘홀딩스,121440,2014/12,294977,312113,586599,762037,30858,28790,387066,429590
(주)골프존뉴딘홀딩스,121440,2015/12,1166628,1164835,585663,767325,-16347,-15267,29389,164536
(주)골프존뉴딘홀딩스,121440,2016/12,196352,218275,561893,760773,5618,15896,27652,243275
(주)골프존뉴딘홀딩스,121440,2017/12,169571,191688,536245,756501,-1148,-1174,23500,213757
(주)골프존뉴딘홀딩스,121440,2018/12,178030,179486,563387,774743,-4416,-20158,16100,223037
(주)골프존뉴딘홀딩스,121440,2019/12,142811,142441,537526,776385,2640,5656,26897,228936
(주)골프존뉴딘홀딩스,121440,2020/12,169714,170341,562129,795769,5224,25587,57481,292026
(주)골프존뉴딘홀딩스,121440,2021/12,294466,295794,702772,939418,6790,21104,80140,417687
(주)공구우먼,366030,2017/12,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,
(주)공구우먼,366030,2020/12,20958,,23980,,5148,,32683,
(주)공구우먼,366030,2021/12,26700,,31551,,8223,,47320,
(주)광림,014200,2011/12,22143,,86353,,11880,,106495,
(주)광림,014200,2012/12,22068,,89766,,2753,,85323,
(주)광림,014200,2013/12,23310,,101593,,14536,,103442,
(주)광림,014200,2014/12,24772,24325,120284,244886,-3583,-6345,92554,231446
(주)광림,014200,2015/12,34234,,146339,,-2664,,237223,
(주)광림,014200,2016/12,28782,32372,152080,229597,3288,3288,87303,87303
(주)광림,014200,2017/12,115120,17586,369582,208058,8659,-15250,99421,135192
(주)광림,014200,2018/12,56492,-5289,236379,187813,1251,-13295,75493,136595
(주)광림,014200,2019/12,-11909,-11628,193569,252468,639,-12236,93241,145864
(주)광림,014200,2020/12,75439,-20705,234833,212123,18881,25093,104253,161220
(주)광림,014200,2021/12,65894,-35204,272822,268834,5422,9904,136953,188435
(주)광무,029480,2011/12,-50928,-62536,85836,75946,9882,8461,50359,51755
(주)광무,029480,2012/12,-65909,-73135,60163,55789,-5777,-5809,40407,41179
(주)광무,029480,2013/12,-32896,-35669,28890,35385,-760,-971,10105,20534
(주)광무,029480,2014/12,-3433,,27863,,1530,,38410,
(주)광무,029480,2015/12,-4827,,21133,,-550,,17648,
(주)광무,029480,2016/12,-4434,,29090,,154,,26430,
(주)광무,029480,2017/12,-7684,,28951,,247,,21541,
(주)광무,029480,2018/12,-12504,-12592,26017,28432,-890,-1325,20707,23075
(주)광무,029480,2019/12,-12024,-12004,57157,63140,-2568,-2436,25244,36484
(주)광무,029480,2020/12,-18804,-18803,37073,38625,-1655,-1313,25007,25176
(주)광무,029480,2021/12,-241,-111,99477,104044,-697,-1067,18173,18920
(주)구스앤홈,329050,2017/12,,,,,,,,
(주)구스앤홈,329050,2018/12,,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,,,
(주)구영테크,053270,2011/12,11754,18639,94941,149471,299,1574,62528,147832
(주)구영테크,053270,2012/12,13081,20328,109441,161163,3401,11791,65451,155789
(주)구영테크,053270,2013/12,14422,22657,97549,149230,6156,11048,76283,172747
(주)구영테크,053270,2014/12,15721,24753,101546,155857,-1477,3399,77800,170529
(주)구영테크,053270,2015/12,18819,28781,102761,161331,9374,17309,87109,172083
(주)구영테크,053270,2016/12,21242,29886,108895,166748,12369,19282,75320,148302
(주)구영테크,053270,2017/12,22414,31281,139584,187010,3339,5515,74298,149833
(주)구영테크,053270,2018/12,26330,37219,146492,202573,-2316,3263,81929,195238
(주)구영테크,053270,2019/12,26962,39787,141035,206570,9761,7656,93133,230853
(주)구영테크,053270,2020/12,27164,39815,151133,211767,8014,18178,84841,196661
(주)구영테크,053270,2021/12,29754,42681,150871,222891,8874,17241,101637,203398
(주)국보디자인,066620,2011/12,37104,37054,79203,80201,17106,15462,123203,130690
(주)국보디자인,066620,2012/12,44306,43905,92873,92878,15836,15201,118459,119403
(주)국보디자인,066620,2013/12,51523,52641,121964,127902,18002,20298,153216,163519
(주)국보디자인,066620,2014/12,57413,61572,125686,132012,14386,13116,158269,176374
(주)국보디자인,066620,2015/12,62197,70176,129038,141090,5593,12342,157658,192608
(주)국보디자인,066620,2016/12,71184,77709,150831,158452,16198,12706,191621,201410
(주)국보디자인,066620,2017/12,83685,89401,158318,164382,19977,17688,262522,270658
(주)국보디자인,066620,2018/12,95551,101041,161751,175037,199,2672,231093,254260
(주)국보디자인,066620,2019/12,103429,115353,197762,222515,5796,5879,237055,269006
(주)국보디자인,066620,2020/12,123629,139338,248699,269228,30754,34430,253811,288139
(주)국보디자인,066620,2021/12,149350,167550,324448,345307,15506,12124,295474,323028
(주)국순당,043650,2011/12,154632,154074,193849,199135,7229,7679,124280,127686
(주)국순당,043650,2012/12,158066,158829,203490,209730,8479,7480,115147,118698
(주)국순당,043650,2013/12,157847,161697,203200,218115,6876,4098,96141,99174
(주)국순당,043650,2014/12,158478,163630,205783,217480,5749,2931,89174,91864
(주)국순당,043650,2015/12,153035,159330,203528,216588,-5215,-9009,74955,77443
(주)국순당,043650,2016/12,150052,155909,200077,213005,2455,142,68426,69701
(주)국순당,043650,2017/12,158826,164767,208832,242200,18085,-2421,60087,62761
(주)국순당,043650,2018/12,169702,178367,221230,238619,15818,-5634,52679,61496
(주)국순당,043650,2019/12,166678,169711,210007,252484,-3808,-4312,48045,102096
(주)국순당,043650,2020/12,184557,192054,226012,244883,12386,15137,50346,52947
(주)국순당,043650,2021/12,198837,210995,244356,267165,9260,5759,61741,65221
(주)국영지앤엠,006050,2011/12,14244,,61023,,2359,,42570,
(주)국영지앤엠,006050,2012/12,19077,,60198,,-7365,,43782,
(주)국영지앤엠,006050,2013/12,19462,,63108,,6008,,55790,
(주)국영지앤엠,006050,2014/12,19857,,58996,,3236,,51492,
(주)국영지앤엠,006050,2015/12,18889,,63713,,647,,40108,
(주)국영지앤엠,006050,2016/12,19275,,65671,,-3296,,51457,
(주)국영지앤엠,006050,2017/12,20706,,66101,,239,,62862,
(주)국영지앤엠,006050,2018/12,19865,,60335,,5052,,56301,
(주)국영지앤엠,006050,2019/12,20943,,68657,,-2377,,73013,
(주)국영지앤엠,006050,2020/12,19129,,70028,,5498,,64386,
(주)국영지앤엠,006050,2021/12,14269,,66277,,-1778,,55030,
(주)국전약품,307750,2018/12,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,
(주)국전약품,307750,2020/12,11810,,57802,,9460,,80623,
(주)국전약품,307750,2021/12,15848,,106989,,3042,,85354,
(주)그래디언트,035080,2011/12,300286,284885,521750,777654,2251,30952,9501,428572
(주)그래디언트,035080,2012/12,316080,296867,482182,739985,-10567,-36922,11151,454225
(주)그래디언트,035080,2013/12,304985,302677,473264,1598504,-6019,79409,7940,2930522
(주)그래디언트,035080,2014/12,304885,310633,455860,1920351,-1016,231909,7754,3135027
(주)그래디언트,035080,2015/12,313650,319162,475793,2106702,4203,-17284,12871,3536849
(주)그래디언트,035080,2016/12,268697,251963,404583,2073537,-2591,115111,16517,3845761
(주)그래디언트,035080,2017/12,208453,175115,344023,1804533,7852,185478,12485,3541487
(주)그래디언트,035080,2018/12,209038,166058,339457,1809664,5564,89691,12238,3440906
(주)그래디언트,035080,2019/12,209806,158093,336146,1780052,5968,136436,8720,3412334
(주)그래디언트,035080,2020/12,207022,124581,548440,1602860,-8607,-69056,169182,3169208
(주)그래디언트,035080,2021/12,188103,96600,606037,1654218,22963,58786,15158,3115778
(주)그리티,204020,2011/12,,,,,,,,
(주)그리티,204020,2012/12,,,,,,,,
(주)그리티,204020,2013/12,,,,,,,,
(주)그리티,204020,2014/12,29205,30439,45694,51545,4394,5059,99246,99924
(주)그리티,204020,2015/12,33251,34994,49393,55746,5533,6092,101842,102486
(주)그리티,204020,2016/12,37048,37469,55731,64735,4721,853,104971,105600
(주)그리티,204020,2017/12,43840,44428,62494,73263,-1546,-5527,124300,125800
(주)그리티,204020,2018/12,40116,39814,86557,95755,6716,5432,117056,119260
(주)그리티,204020,2019/12,40929,39800,86804,92152,-1030,-1687,120984,123080
(주)그리티,204020,2020/12,41865,40155,82600,87285,2620,3256,119858,123462
(주)그리티,204020,2021/12,30824,32734,73835,86545,-3860,117,104116,108705
(주)그린플러스,186230,2011/12,,,,,,,,
(주)그린플러스,186230,2012/12,,,,,,,,
(주)그린플러스,186230,2013/12,,,,,,,,
(주)그린플러스,186230,2014/12,,,,,,,,
(주)그린플러스,186230,2015/12,,,,,,,,
(주)그린플러스,186230,2016/12,,,,,,,,
(주)그린플러스,186230,2017/12,,,,,,,,
(주)그린플러스,186230,2018/12,10050,9966,48675,63717,2029,-3235,42151,46357
(주)그린플러스,186230,2019/12,12486,12461,56588,72322,-574,-2090,39503,48832
(주)그린플러스,186230,2020/12,10556,10531,72750,89111,5821,2649,55545,62676
(주)그린플러스,186230,2021/12,6512,6487,87360,101659,752,-951,76238,83238
(주)극동자동화,272420,2014/12,,,,,,,,
(주)극동자동화,272420,2015/12,,,,,,,,
(주)극동자동화,272420,2016/12,,,,,,,,
(주)극동자동화,272420,2017/12,,,,,,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,19726,20388,49715,52575,3441,4492,40663,41504
(주)글로벌스탠다드테크놀로지,083450,2012/12,24543,26287,49051,53825,2653,4001,62775,64812
(주)글로벌스탠다드테크놀로지,083450,2013/12,29141,31236,57053,62627,1808,1562,78918,80983
(주)글로벌스탠다드테크놀로지,083450,2014/12,34557,37701,63318,69972,9680,12091,85993,89123
(주)글로벌스탠다드테크놀로지,083450,2015/12,37807,42295,60771,69692,5202,6749,80102,84423
(주)글로벌스탠다드테크놀로지,083450,2016/12,41007,45683,78441,89406,-449,159,81860,90819
(주)글로벌스탠다드테크놀로지,083450,2017/12,54294,61248,88966,102401,15891,17990,154762,162835
(주)글로벌스탠다드테크놀로지,083450,2018/12,60910,69539,87524,105027,5220,2346,115619,129850
(주)글로벌스탠다드테크놀로지,083450,2019/12,78217,87791,120984,136752,15030,19308,150777,168232
(주)글로벌스탠다드테크놀로지,083450,2020/12,87011,100747,120934,141836,19064,19591,154150,166880
(주)글로벌스탠다드테크놀로지,083450,2021/12,117139,136546,176057,206243,21091,25551,289753,304487
(주)금빛,045890,2011/12,-27043,-25376,106200,109326,4301,7450,48909,56203
(주)금빛,045890,2012/12,3109,-4644,99334,98231,9473,10058,74367,71895
(주)금빛,045890,2013/12,2845,-2078,105376,103969,1532,-3135,75831,88415
(주)금빛,045890,2014/12,859,-430,108557,109183,4722,2362,76784,82662
(주)금빛,045890,2015/12,4436,2803,111805,110881,3285,203,79881,84792
(주)금빛,045890,2016/12,7137,5503,111036,110713,8373,6598,67259,75658
(주)금빛,045890,2017/12,5691,600,114739,109637,-509,-2853,65806,72904
(주)금빛,045890,2018/12,-6927,-11415,109609,102613,-1758,-1697,50397,53162
(주)금빛,045890,2019/12,-46176,-48599,101724,102849,-13595,-14091,55241,58651
(주)금빛,045890,2020/12,-59474,-65595,117537,122855,-2183,-7040,37325,40930
(주)금오하이텍,165270,2011/12,,,,,,,,
(주)금오하이텍,165270,2012/12,,,,,,,,
(주)금오하이텍,165270,2013/12,,,,,,,,
(주)금오하이텍,165270,2014/12,,,,,,,,
(주)금오하이텍,165270,2015/12,,,,,,,,
(주)금오하이텍,165270,2016/12,,,,,,,,
(주)금화피에스시,036190,2011/12,73077,,94174,,15832,,82738,
(주)금화피에스시,036190,2012/12,88143,,105483,,11268,,108224,
(주)금화피에스시,036190,2013/12,103662,106610,135181,142932,9218,9648,156631,166122
(주)금화피에스시,036190,2014/12,117257,120971,146361,158058,8104,9017,166948,189632
(주)금화피에스시,036190,2015/12,132675,137215,175086,189002,23800,24674,196920,235970
(주)금화피에스시,036190,2016/12,150397,156828,197558,215036,30403,32247,201547,235018
(주)금화피에스시,036190,2017/12,166370,172263,216252,231639,45455,46527,174993,205782
(주)금화피에스시,036190,2018/12,202481,211502,242311,262516,21110,22301,202098,233327
(주)금화피에스시,036190,2019/12,218488,230047,255149,281693,15348,22976,179177,209435
(주)금화피에스시,036190,2020/12,230404,250360,263069,294094,18041,15215,205790,235336
(주)금화피에스시,036190,2021/12,245784,266796,275117,307749,12171,17060,205982,238745
(주)기가레인,049080,2013/12,20734,20576,122926,122524,10891,9920,94056,94792
(주)기가레인,049080,2014/12,28508,27049,133238,131924,14427,13827,95461,95719
(주)기가레인,049080,2015/12,13370,12427,148551,151758,-352,-1508,61255,61576
(주)기가레인,049080,2016/12,2819,2844,152640,155732,-3279,-1748,70397,75445
(주)기가레인,049080,2017/12,1945,243,179756,181628,-3893,-3057,89874,100131
(주)기가레인,049080,2018/12,-24609,-24074,176296,179114,-9321,-9812,114669,124772
(주)기가레인,049080,2019/12,-68729,-68932,115539,117798,8307,8013,63361,72769
(주)기가레인,049080,2020/12,-93781,-94132,100666,104198,-3158,-3184,37871,44279
(주)기가레인,049080,2021/12,-89570,-90459,93644,98823,7413,10379,68974,71623
(주)기산텔레콤,035460,2011/12,-17448,-18655,59417,86259,504,-3854,36332,65679
(주)기산텔레콤,035460,2012/12,-16009,-20401,46588,73235,7329,12443,49241,74316
(주)기산텔레콤,035460,2013/12,-13840,-16131,57255,78811,1904,-1989,48367,79464
(주)기산텔레콤,035460,2014/12,-13252,-14054,54284,78053,2837,-933,41613,74512
(주)기산텔레콤,035460,2015/12,-12705,-12495,53901,76013,6283,9032,45713,79711
(주)기산텔레콤,035460,2016/12,-14410,-15201,47117,74210,-1680,-2082,24680,59172
(주)기산텔레콤,035460,2017/12,-16534,-19998,44554,70137,2647,610,29568,63468
(주)기산텔레콤,035460,2018/12,-18478,-19131,34219,56180,-2276,-4595,24864,56446
(주)기산텔레콤,035460,2019/12,-17085,-16930,40026,66790,5501,8214,30546,67055
(주)기산텔레콤,035460,2020/12,-18575,-16712,42846,70833,-2584,2413,26787,68812
(주)기산텔레콤,035460,2021/12,-20974,-17777,36650,70596,-479,1309,18129,61875
(주)까스텔바작,308100,2016/12,-1398,-1637,63047,63784,-7484,-7139,33548,33626
(주)까스텔바작,308100,2017/12,5010,4719,64179,64904,6483,6436,83289,84152
(주)까스텔바작,308100,2018/12,15981,15583,78840,79267,11286,10687,92092,92347
(주)까스텔바작,308100,2019/12,23071,22452,88614,89005,1952,2054,81068,81359
(주)까스텔바작,308100,2020/12,25723,27248,100112,103688,665,163,67130,67275
(주)까스텔바작,308100,2021/12,21127,18387,116929,116088,5413,506,66813,74675
(주)꿈비,407400,2021/12,4205,4127,11534,11537,1954,1847,20851,20896
(주)나노,187790,2014/12,,,,,,,,
(주)나노,187790,2015/12,-1559,924,72593,99496,-10073,-16345,14882,29902
(주)나노,187790,2016/12,5450,3457,57351,83441,-237,3,18480,48175
(주)나노,187790,2017/12,16631,17422,59150,91575,-460,-1535,29944,73089
(주)나노,187790,2018/12,11026,16693,66624,108261,5872,3780,34239,81943
(주)나노,187790,2019/12,10931,16583,73016,116141,1909,3674,38421,73695
(주)나노,187790,2020/12,6173,8882,69834,109624,8336,11122,36340,47375
(주)나노,187790,2021/12,-10215,-5938,58231,71064,43,1153,35901,51270
(주)나노브릭,286750,2015/12,,,,,,,,
(주)나노브릭,286750,2016/12,,,,,,,,
(주)나노브릭,286750,2017/12,-21479,-21137,17993,18335,-752,-334,5980,5983
(주)나노브릭,286750,2018/12,-20366,-20349,18090,18088,-414,-417,7186,7186
(주)나노브릭,286750,2019/12,-21218,-21218,24552,24552,-1388,-1397,7775,7775
(주)나노브릭,286750,2020/12,-21237,,22122,,1966,,8652,
(주)나노브릭,286750,2021/12,-24137,,32995,,-2887,,7004,
(주)나노신소재,121600,2011/12,21108,21088,73039,73056,-2077,-2097,33481,33481
(주)나노신소재,121600,2012/12,19626,19506,68451,68352,1149,1069,23644,23644
(주)나노신소재,121600,2013/12,20862,20779,67591,67524,2107,2156,26827,27009
(주)나노신소재,121600,2014/12,24506,24483,71673,71679,1080,1148,27927,27927
(주)나노신소재,121600,2015/12,31015,30924,82686,83449,10955,11682,43140,43140
(주)나노신소재,121600,2016/12,35075,34969,84289,84239,7393,6589,41112,41112
(주)나노신소재,121600,2017/12,40821,40747,89014,88964,9525,9556,45569,45569
(주)나노신소재,121600,2018/12,47322,47342,98057,98480,3478,3947,52250,52250
(주)나노신소재,121600,2019/12,51455,51427,101777,101894,12314,11904,48893,48893
(주)나노신소재,121600,2020/12,51610,51467,106596,106629,9482,8742,48524,48524
(주)나노신소재,121600,2021/12,59039,58073,121663,121249,10782,10601,61206,61069
(주)나노엔텍,039860,2011/12,-5367,-5927,50081,49649,-5522,-5296,13088,13154
(주)나노엔텍,039860,2012/12,-6321,-6346,44444,44437,-2943,-3637,13561,13435
(주)나노엔텍,039860,2013/12,628,-967,46319,44804,3689,2068,19072,19084
(주)나노엔텍,039860,2014/12,-661,-3546,46186,43261,-1135,-1629,20256,19499
(주)나노엔텍,039860,2015/12,-4399,-10464,58551,52687,-3239,-3538,18652,24839
(주)나노엔텍,039860,2016/12,-16557,-18185,47793,45708,-11,-3022,19929,22206
(주)나노엔텍,039860,2017/12,-1041,-3942,45401,42370,2638,1707,22133,23810
(주)나노엔텍,039860,2018/12,3559,3255,45657,42162,2119,1508,24871,25797
(주)나노엔텍,039860,2019/12,8857,8111,50555,46639,4092,4083,25099,26256
(주)나노엔텍,039860,2020/12,11443,10806,55778,52815,4221,5697,27440,29443
(주)나노엔텍,039860,2021/12,18870,17910,65956,62455,10601,9290,34234,35784
(주)나노트로닉스,010670,2011/12,6400,5585,49592,48556,-4295,-3039,16969,17114
(주)나노트로닉스,010670,2012/12,1437,2346,52490,51585,-3029,-2516,19147,19430
(주)나래나노텍,137080,2011/12,,,,,,,,
(주)나래나노텍,137080,2012/12,,,,,,,,
(주)나래나노텍,137080,2013/12,,,,,,,,
