회사명,거래소코드,회계년도,유형자산의 증가(*)(IFRS)(천원),유형자산의 증가(*)(IFRS연결)(천원)
(주)광림,014200,2015/12,2752844,
(주)광림,014200,2016/12,1884578,1884578
(주)광림,014200,2017/12,1449001,3643879
(주)광림,014200,2018/12,424376,17168692
(주)광림,014200,2019/12,404039,9004592
(주)광림,014200,2020/12,2544693,10622593
(주)광림,014200,2021/12,2278568,6057122
(주)광무,029480,2011/12,16568387,16930128
(주)광무,029480,2012/12,820096,829596
(주)광무,029480,2013/12,589492,613372
(주)광무,029480,2014/12,313669,
(주)광무,029480,2015/12,279172,
(주)광무,029480,2016/12,487180,
(주)광무,029480,2017/12,213536,
(주)광무,029480,2018/12,609498,1160820
(주)광무,029480,2019/12,322064,472207
(주)광무,029480,2020/12,170887,670887
(주)광무,029480,2021/12,269504,269504
(주)구스앤홈,329050,2017/12,,
(주)구스앤홈,329050,2018/12,,
(주)구스앤홈,329050,2019/12,,
(주)구스앤홈,329050,2020/12,,
(주)구영테크,053270,2011/12,5630152,8854520
(주)구영테크,053270,2012/12,9620315,18716011
(주)구영테크,053270,2013/12,3827340,8136743
(주)구영테크,053270,2014/12,4090341,11453871
(주)구영테크,053270,2015/12,6289230,11761197
(주)구영테크,053270,2016/12,7998626,14647715
(주)구영테크,053270,2017/12,21115941,23926888
(주)구영테크,053270,2018/12,24004436,34827256
(주)구영테크,053270,2019/12,12077301,11295258
(주)구영테크,053270,2020/12,9850188,17717130
(주)구영테크,053270,2021/12,16910773,34276148
(주)국보디자인,066620,2011/12,194973,194973
(주)국보디자인,066620,2012/12,875699,875699
(주)국보디자인,066620,2013/12,53862,53862
(주)국보디자인,066620,2014/12,514132,514132
(주)국보디자인,066620,2015/12,4440064,4483066
(주)국보디자인,066620,2016/12,618726,618726
(주)국보디자인,066620,2017/12,146927,207935
(주)국보디자인,066620,2018/12,9000,9000
(주)국보디자인,066620,2019/12,923824,923824
(주)국보디자인,066620,2020/12,0,0
(주)국보디자인,066620,2021/12,335490,256890
(주)국순당,043650,2011/12,5955080,6678686
(주)국순당,043650,2012/12,3478627,4438522
(주)국순당,043650,2013/12,1074250,1572530
(주)국순당,043650,2014/12,164798,409761
(주)국순당,043650,2015/12,322127,545811
(주)국순당,043650,2016/12,366089,1084002
(주)국순당,043650,2017/12,576203,696944
(주)국순당,043650,2018/12,11174134,11233301
(주)국순당,043650,2019/12,345028,7978410
(주)국순당,043650,2020/12,95150,131786
(주)국순당,043650,2021/12,921047,944410
(주)국영지앤엠,006050,2011/12,18619307,
(주)국영지앤엠,006050,2012/12,2987309,
(주)국영지앤엠,006050,2013/12,951384,
(주)국영지앤엠,006050,2014/12,1998002,
(주)국영지앤엠,006050,2015/12,575198,
(주)국영지앤엠,006050,2016/12,1517148,
(주)국영지앤엠,006050,2017/12,1436900,
(주)국영지앤엠,006050,2018/12,161845,
(주)국영지앤엠,006050,2019/12,2270439,
(주)국영지앤엠,006050,2020/12,1492191,
(주)국영지앤엠,006050,2021/12,75465,
(주)국전약품,307750,2018/12,,
(주)국전약품,307750,2019/12,,
(주)국전약품,307750,2020/12,2516002,
(주)국전약품,307750,2021/12,10408715,
(주)그래디언트,035080,2011/12,1069567,15600663
(주)그래디언트,035080,2012/12,371385,17373958
(주)그래디언트,035080,2013/12,10294,4534517
(주)그래디언트,035080,2014/12,241443,8748466
(주)그래디언트,035080,2015/12,2026,5751175
(주)그래디언트,035080,2016/12,21389,8858976
(주)그래디언트,035080,2017/12,122489,9726643
(주)그래디언트,035080,2018/12,685,18928382
(주)그래디언트,035080,2019/12,1346667,26877731
(주)그래디언트,035080,2020/12,9388358,24764617
(주)그래디언트,035080,2021/12,4605330,10029329
(주)그리티,204020,2011/12,,
(주)그리티,204020,2012/12,,
(주)그리티,204020,2013/12,,
(주)그리티,204020,2014/12,407259,432844
(주)그리티,204020,2015/12,312569,347967
(주)그리티,204020,2016/12,572223,1197138
(주)그리티,204020,2017/12,337188,343008
(주)그리티,204020,2018/12,176050,210155
(주)그리티,204020,2019/12,178327,207336
(주)그리티,204020,2020/12,738366,785151
(주)그리티,204020,2021/12,1027620,1245346
(주)그린플러스,186230,2011/12,,
(주)그린플러스,186230,2012/12,,
(주)그린플러스,186230,2013/12,,
(주)그린플러스,186230,2014/12,,
(주)그린플러스,186230,2015/12,,
(주)그린플러스,186230,2016/12,,
(주)그린플러스,186230,2017/12,,
(주)그린플러스,186230,2018/12,2143934,3162883
(주)그린플러스,186230,2019/12,1260932,1384896
(주)그린플러스,186230,2020/12,4529429,5096328
(주)그린플러스,186230,2021/12,1897883,2377893
(주)극동자동화,272420,2014/12,,
(주)극동자동화,272420,2015/12,,
(주)극동자동화,272420,2016/12,,
(주)극동자동화,272420,2017/12,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,8313817,8836847
(주)글로벌스탠다드테크놀로지,083450,2012/12,4059842,4167090
(주)글로벌스탠다드테크놀로지,083450,2013/12,1123333,3628873
(주)글로벌스탠다드테크놀로지,083450,2014/12,1479624,1504608
(주)글로벌스탠다드테크놀로지,083450,2015/12,5114336,5334151
(주)글로벌스탠다드테크놀로지,083450,2016/12,4093697,4347852
(주)글로벌스탠다드테크놀로지,083450,2017/12,8716451,13268856
(주)글로벌스탠다드테크놀로지,083450,2018/12,7549061,8123717
(주)글로벌스탠다드테크놀로지,083450,2019/12,326132,2256613
(주)글로벌스탠다드테크놀로지,083450,2020/12,1494318,1846892
(주)글로벌스탠다드테크놀로지,083450,2021/12,7084493,11647048
(주)금빛,045890,2011/12,202845,475624
(주)금빛,045890,2012/12,1322590,1462119
(주)금빛,045890,2013/12,632946,693798
(주)금빛,045890,2014/12,1542525,1824980
(주)금빛,045890,2015/12,1207149,1617435
(주)금빛,045890,2016/12,1153272,1187448
(주)금빛,045890,2017/12,1345182,1400106
(주)금빛,045890,2018/12,882986,954760
(주)금빛,045890,2019/12,2188423,2735353
(주)금빛,045890,2020/12,833484,7765117
(주)금오하이텍,165270,2011/12,,
(주)금오하이텍,165270,2012/12,,
(주)금오하이텍,165270,2013/12,,
(주)금오하이텍,165270,2014/12,,
(주)금오하이텍,165270,2015/12,,
(주)금오하이텍,165270,2016/12,,
(주)금화피에스시,036190,2011/12,4940743,
(주)금화피에스시,036190,2012/12,2369669,
(주)금화피에스시,036190,2013/12,1884317,2376208
(주)금화피에스시,036190,2014/12,2820886,2967317
(주)금화피에스시,036190,2015/12,4310387,7316246
(주)금화피에스시,036190,2016/12,967123,4509883
(주)금화피에스시,036190,2017/12,962409,1234176
(주)금화피에스시,036190,2018/12,1244234,2457895
(주)금화피에스시,036190,2019/12,1014295,1758753
(주)금화피에스시,036190,2020/12,1033563,1642442
(주)금화피에스시,036190,2021/12,1266772,4068574
(주)기가레인,049080,2013/12,15629092,17167937
(주)기가레인,049080,2014/12,23182763,23347880
(주)기가레인,049080,2015/12,12077019,12669178
(주)기가레인,049080,2016/12,7534257,8432965
(주)기가레인,049080,2017/12,3007050,3506816
(주)기가레인,049080,2018/12,2280311,2667046
(주)기가레인,049080,2019/12,6374441,6796005
(주)기가레인,049080,2020/12,487862,3659987
(주)기가레인,049080,2021/12,378929,876135
(주)기산텔레콤,035460,2011/12,374637,961433
(주)기산텔레콤,035460,2012/12,297595,684728
(주)기산텔레콤,035460,2013/12,345700,698373
(주)기산텔레콤,035460,2014/12,188671,878982
(주)기산텔레콤,035460,2015/12,186858,461284
(주)기산텔레콤,035460,2016/12,157638,909541
(주)기산텔레콤,035460,2017/12,232239,477930
(주)기산텔레콤,035460,2018/12,30800,263197
(주)기산텔레콤,035460,2019/12,5565642,6952366
(주)기산텔레콤,035460,2020/12,239705,484274
(주)기산텔레콤,035460,2021/12,350681,661290
(주)까스텔바작,308100,2016/12,439300,439300
(주)까스텔바작,308100,2017/12,100850,190154
(주)까스텔바작,308100,2018/12,694101,694101
(주)까스텔바작,308100,2019/12,281300,285338
(주)까스텔바작,308100,2020/12,647455,648860
(주)까스텔바작,308100,2021/12,377628,435522
(주)꿈비,407400,2021/12,1145635,1149735
(주)나노,187790,2014/12,,
(주)나노,187790,2015/12,1075315,4077977
(주)나노,187790,2016/12,386823,5660870
(주)나노,187790,2017/12,100876,4502333
(주)나노,187790,2018/12,79815,7620066
(주)나노,187790,2019/12,305724,5177949
(주)나노,187790,2020/12,1160161,2601770
(주)나노,187790,2021/12,1018747,2263609
(주)나노브릭,286750,2015/12,,
(주)나노브릭,286750,2016/12,,
(주)나노브릭,286750,2017/12,161417,161417
(주)나노브릭,286750,2018/12,60743,60743
(주)나노브릭,286750,2019/12,96536,96536
(주)나노브릭,286750,2020/12,706036,
(주)나노브릭,286750,2021/12,386089,
(주)나노신소재,121600,2011/12,5641893,5696793
(주)나노신소재,121600,2012/12,2263512,2266516
(주)나노신소재,121600,2013/12,861751,869010
(주)나노신소재,121600,2014/12,1776926,1778497
(주)나노신소재,121600,2015/12,3922864,3924836
(주)나노신소재,121600,2016/12,2082106,2085166
(주)나노신소재,121600,2017/12,4465531,4522624
(주)나노신소재,121600,2018/12,4824295,4824295
(주)나노신소재,121600,2019/12,1998084,1998084
(주)나노신소재,121600,2020/12,11809759,12807721
(주)나노신소재,121600,2021/12,3327531,4319989
(주)나노엔텍,039860,2011/12,1409871,1409871
(주)나노엔텍,039860,2012/12,4106486,4106486
(주)나노엔텍,039860,2013/12,663336,663336
(주)나노엔텍,039860,2014/12,248349,248349
(주)나노엔텍,039860,2015/12,1871397,2133795
(주)나노엔텍,039860,2016/12,2490876,2490876
(주)나노엔텍,039860,2017/12,966531,966531
(주)나노엔텍,039860,2018/12,534370,536557
(주)나노엔텍,039860,2019/12,841267,840734
(주)나노엔텍,039860,2020/12,1027539,1080664
(주)나노엔텍,039860,2021/12,2559827,2559827
(주)나노트로닉스,010670,2011/12,116918,174289
(주)나노트로닉스,010670,2012/12,3676,4688
(주)나래나노텍,137080,2011/12,,
(주)나래나노텍,137080,2012/12,,
(주)나래나노텍,137080,2013/12,,
(주)나래나노텍,137080,2014/12,,
(주)나래나노텍,137080,2015/12,,
(주)나래나노텍,137080,2016/12,,
(주)나래나노텍,137080,2017/12,493658,
(주)나래나노텍,137080,2018/12,724834,
(주)나래나노텍,137080,2019/12,452375,
(주)나래나노텍,137080,2020/12,290163,295108
(주)나래나노텍,137080,2021/12,9065171,9083823
(주)나무가,190510,2011/12,,
(주)나무가,190510,2012/12,922123,3363818
(주)나무가,190510,2013/12,1228363,9153896
(주)나무가,190510,2014/12,395860,22184225
(주)나무가,190510,2015/12,428299,19004677
(주)나무가,190510,2016/12,3014017,20361341
(주)나무가,190510,2017/12,1599121,18421163
(주)나무가,190510,2018/12,1133013,6213560
(주)나무가,190510,2019/12,741329,38771470
(주)나무가,190510,2020/12,875232,22970396
(주)나무가,190510,2021/12,2826332,6646831
(주)나스미디어,089600,2011/12,131361,
(주)나스미디어,089600,2012/12,57030,
(주)나스미디어,089600,2013/12,231467,
(주)나스미디어,089600,2014/12,180338,
(주)나스미디어,089600,2015/12,11640895,
(주)나스미디어,089600,2016/12,100488,109828
(주)나스미디어,089600,2017/12,165929,686372
(주)나스미디어,089600,2018/12,620785,1270021
(주)나스미디어,089600,2019/12,188324,627880
(주)나스미디어,089600,2020/12,141700,1524162
(주)나스미디어,089600,2021/12,2574256,2798172
(주)나이벡,138610,2011/12,385077,
(주)나이벡,138610,2012/12,991029,
(주)나이벡,138610,2013/12,210047,
(주)나이벡,138610,2014/12,283326,
(주)나이벡,138610,2015/12,1344842,
(주)나이벡,138610,2016/12,2233301,
(주)나이벡,138610,2017/12,1301189,
(주)나이벡,138610,2018/12,968058,
(주)나이벡,138610,2019/12,2010632,
(주)나이벡,138610,2020/12,1782678,
(주)나이벡,138610,2021/12,1640490,
(주)나이스디앤비,130580,2011/12,110598,
(주)나이스디앤비,130580,2012/12,99384,
(주)나이스디앤비,130580,2013/12,108993,
(주)나이스디앤비,130580,2014/12,65306,
(주)나이스디앤비,130580,2015/12,253292,328596
(주)나이스디앤비,130580,2016/12,288440,570151
(주)나이스디앤비,130580,2017/12,391828,452168
(주)나이스디앤비,130580,2018/12,454781,509153
(주)나이스디앤비,130580,2019/12,535368,873415
(주)나이스디앤비,130580,2020/12,525944,739249
(주)나이스디앤비,130580,2021/12,128411,278721
(주)나이코,192240,2012/12,,
(주)나이코,192240,2013/12,,
(주)나이코,192240,2014/12,,
(주)나이코,192240,2015/12,,
(주)나인테크,267320,2017/12,,
(주)나인테크,267320,2018/12,,
(주)나인테크,267320,2019/12,,
(주)나인테크,267320,2020/12,12297823,
(주)나인테크,267320,2021/12,1649801,
(주)내츄럴엔도텍,168330,2012/12,243767,
(주)내츄럴엔도텍,168330,2013/12,8891225,
(주)내츄럴엔도텍,168330,2014/12,35221815,
(주)내츄럴엔도텍,168330,2015/12,1344111,2051591
(주)내츄럴엔도텍,168330,2016/12,595761,595761
(주)내츄럴엔도텍,168330,2017/12,548202,548202
(주)내츄럴엔도텍,168330,2018/12,287049,2422411
(주)내츄럴엔도텍,168330,2019/12,440146,517984
(주)내츄럴엔도텍,168330,2020/12,72296,440859
(주)내츄럴엔도텍,168330,2021/12,619375,1279357
(주)네오리진,094860,2011/12,549458,9103867
(주)네오리진,094860,2012/12,1031401,
(주)네오리진,094860,2013/12,307917,
(주)네오리진,094860,2014/12,183881,
(주)네오리진,094860,2015/12,60838,
(주)네오리진,094860,2016/12,299361,
(주)네오리진,094860,2017/12,372844,509945
(주)네오리진,094860,2018/12,440187,
(주)네오리진,094860,2019/12,114406,
(주)네오리진,094860,2020/12,223564,
(주)네오리진,094860,2021/12,171942,191288
(주)네오셈,253590,2016/12,,
(주)네오셈,253590,2017/12,,
(주)네오셈,253590,2018/12,,
(주)네오셈,253590,2019/12,181695,486345
(주)네오셈,253590,2020/12,79844,195807
(주)네오셈,253590,2021/12,2443647,2569541
(주)네오오토,212560,2011/12,,
(주)네오오토,212560,2012/12,,
(주)네오오토,212560,2013/12,12186541,
(주)네오오토,212560,2014/12,5214508,
(주)네오오토,212560,2015/12,39665025,
(주)네오오토,212560,2016/12,29579699,
(주)네오오토,212560,2017/12,24611770,
(주)네오오토,212560,2018/12,15132783,
(주)네오오토,212560,2019/12,11039906,
(주)네오오토,212560,2020/12,5304580,
(주)네오오토,212560,2021/12,12467181,
(주)네오위즈,095660,2011/12,93992705,97732100
(주)네오위즈,095660,2012/12,2992297,4554263
(주)네오위즈,095660,2013/12,2970387,4218638
(주)네오위즈,095660,2014/12,681454,1127367
(주)네오위즈,095660,2015/12,479826,1131211
(주)네오위즈,095660,2016/12,448782,2755415
(주)네오위즈,095660,2017/12,845919,2998752
(주)네오위즈,095660,2018/12,34640684,35128798
(주)네오위즈,095660,2019/12,1190250,1586271
(주)네오위즈,095660,2020/12,2908588,4178941
(주)네오위즈,095660,2021/12,566359,1005649
(주)네오위즈홀딩스,042420,2011/12,81703,17297467
(주)네오위즈홀딩스,042420,2012/12,11677,5428364
(주)네오위즈홀딩스,042420,2013/12,7350,4622900
(주)네오위즈홀딩스,042420,2014/12,0,1499415
(주)네오위즈홀딩스,042420,2015/12,45647,1755131
(주)네오위즈홀딩스,042420,2016/12,0,3040267
(주)네오위즈홀딩스,042420,2017/12,0,3036870
(주)네오위즈홀딩스,042420,2018/12,0,35278553
(주)네오위즈홀딩스,042420,2019/12,2903,1691996
(주)네오위즈홀딩스,042420,2020/12,87440,4278965
(주)네오위즈홀딩스,042420,2021/12,174819,1225241
(주)네오이뮨텍,950220,2019/12,252498,433146
(주)네오이뮨텍,950220,2020/12,9795,1086883
(주)네오이뮨텍,950220,2021/12,2332090,2709879
(주)네오크레마,311390,2016/12,,
(주)네오크레마,311390,2017/12,,
(주)네오크레마,311390,2018/12,7093613,
(주)네오크레마,311390,2019/12,6816213,6823861
(주)네오크레마,311390,2020/12,1308611,1324544
(주)네오크레마,311390,2021/12,399203,404560
(주)네오티스,085910,2011/12,3612254,
(주)네오티스,085910,2012/12,15307674,
(주)네오티스,085910,2013/12,4321233,4844833
(주)네오티스,085910,2014/12,10270590,10894409
(주)네오티스,085910,2015/12,2706436,2783085
(주)네오티스,085910,2016/12,1084146,1104006
(주)네오티스,085910,2017/12,2105891,2176853
(주)네오티스,085910,2018/12,1498314,1551212
(주)네오티스,085910,2019/12,4280526,5200522
(주)네오티스,085910,2020/12,3341903,3939682
(주)네오티스,085910,2021/12,2259708,3788260
(주)네오팜,092730,2011/12,803149,
(주)네오팜,092730,2012/12,172469,
(주)네오팜,092730,2013/12,102677,
(주)네오팜,092730,2014/12,227090,
(주)네오팜,092730,2015/12,484175,
(주)네오팜,092730,2016/12,1064941,1068601
(주)네오팜,092730,2017/12,883977,884712
(주)네오팜,092730,2018/12,1941075,1941094
(주)네오팜,092730,2019/12,505144,506032
(주)네오팜,092730,2020/12,285618,285618
(주)네오팜,092730,2021/12,320114,320114
(주)네오퍼플,028090,2011/12,962588,963142
(주)네오퍼플,028090,2012/12,498636,810417
(주)네오펙트,290660,2017/12,269355,530267
(주)네오펙트,290660,2018/12,4179050,4640596
(주)네오펙트,290660,2019/12,7583162,8282016
(주)네오펙트,290660,2020/12,182419,588657
(주)네오펙트,290660,2021/12,17343,1185600
(주)네온테크,306620,2018/12,,
(주)네온테크,306620,2019/12,,
(주)네온테크,306620,2020/12,865724,865724
(주)네온테크,306620,2021/12,1456789,1457443
(주)네이블커뮤니케이션즈,153460,2011/12,161550,
(주)네이블커뮤니케이션즈,153460,2012/12,4833871,
(주)네이블커뮤니케이션즈,153460,2013/12,486200,
(주)네이블커뮤니케이션즈,153460,2014/12,609752,615773
(주)네이블커뮤니케이션즈,153460,2015/12,682312,
(주)네이블커뮤니케이션즈,153460,2016/12,597848,
(주)네이블커뮤니케이션즈,153460,2017/12,171084,
(주)네이블커뮤니케이션즈,153460,2018/12,90185,
(주)네이블커뮤니케이션즈,153460,2019/12,149747,
(주)네이블커뮤니케이션즈,153460,2020/12,265586,
(주)네이블커뮤니케이션즈,153460,2021/12,56127,
(주)네이처셀,007390,2011/12,1773142,
(주)네이처셀,007390,2012/12,1824590,
(주)네이처셀,007390,2013/12,320388,
(주)네이처셀,007390,2014/12,301400,
(주)네이처셀,007390,2015/12,1251433,
(주)네이처셀,007390,2016/12,1996337,
(주)네이처셀,007390,2017/12,631911,
(주)네이처셀,007390,2018/12,409764,
(주)네이처셀,007390,2019/12,427787,
(주)네이처셀,007390,2020/12,2715967,
(주)네이처셀,007390,2021/12,383532,
(주)네패스,033640,2011/12,24494744,39908933
(주)네패스,033640,2012/12,60831099,67181044
(주)네패스,033640,2013/12,50402512,81155349
(주)네패스,033640,2014/12,15190015,24359675
(주)네패스,033640,2015/12,17613975,58566535
(주)네패스,033640,2016/12,22400166,23949041
(주)네패스,033640,2017/12,49725889,52104286
(주)네패스,033640,2018/12,30272674,31962997
(주)네패스,033640,2019/12,110475394,173027172
(주)네패스,033640,2020/12,46743401,297028994
(주)네패스,033640,2021/12,74238969,289634417
(주)네패스아크,330860,2019/12,86072529,
(주)네패스아크,330860,2020/12,131795994,
(주)네패스아크,330860,2021/12,94841399,
(주)넥스지,081970,2011/12,5961806,
(주)넥스지,081970,2012/12,965087,
(주)넥스지,081970,2013/12,860887,877448
(주)넥스지,081970,2014/12,412977,
(주)넥스지,081970,2015/12,848507,
(주)넥스지,081970,2016/12,685785,
(주)넥스지,081970,2017/12,597379,610318
(주)넥스턴바이오사이언스,089140,2011/12,278070,
(주)넥스턴바이오사이언스,089140,2012/12,158312,
(주)넥스턴바이오사이언스,089140,2013/12,119098,
(주)넥스턴바이오사이언스,089140,2014/12,8974,
(주)넥스턴바이오사이언스,089140,2015/12,906541,
(주)넥스턴바이오사이언스,089140,2016/12,879460,
(주)넥스턴바이오사이언스,089140,2017/12,870453,
(주)넥스턴바이오사이언스,089140,2018/12,199415,
(주)넥스턴바이오사이언스,089140,2019/12,7453259,
(주)넥스턴바이오사이언스,089140,2020/12,56134,
(주)넥스턴바이오사이언스,089140,2021/12,164734,467595
(주)넥스트아이,137940,2011/12,4831318,
(주)넥스트아이,137940,2012/12,2012832,2026509
(주)넥스트아이,137940,2013/12,5718778,5746601
(주)넥스트아이,137940,2014/12,4145826,4166010
(주)넥스트아이,137940,2015/12,130356,909293
(주)넥스트아이,137940,2016/12,770225,2094165
(주)넥스트아이,137940,2017/12,162071,1382532
(주)넥스트아이,137940,2018/12,94513,5654499
(주)넥스트아이,137940,2019/12,87627,2812661
(주)넥스트아이,137940,2020/12,65854,6664897
(주)넥스트아이,137940,2021/12,5314748,11271592
(주)넥스트엔터테인먼트월드,160550,2013/12,155452,164884
(주)넥스트엔터테인먼트월드,160550,2014/12,644637,761939
(주)넥스트엔터테인먼트월드,160550,2015/12,38121,49716
(주)넥스트엔터테인먼트월드,160550,2016/12,22188433,22222018
(주)넥스트엔터테인먼트월드,160550,2017/12,12139976,12329171
(주)넥스트엔터테인먼트월드,160550,2018/12,7856365,8369967
(주)넥스트엔터테인먼트월드,160550,2019/12,491226,8295763
(주)넥스트엔터테인먼트월드,160550,2020/12,9301,1013090
(주)넥스트엔터테인먼트월드,160550,2021/12,323288,5097606
(주)넥스트칩,396270,2020/12,223134,
(주)넥스트칩,396270,2021/12,762146,
(주)넥스틴,348210,2014/12,,
(주)넥스틴,348210,2015/12,,
(주)넥스틴,348210,2016/12,,
(주)넥스틴,348210,2017/12,,
(주)넥스틴,348210,2018/12,342960,344519
