회사명,거래소코드,회계년도,단기차입금(요약)(IFRS)(백만원),유동성장기부채(요약)(IFRS)(백만원),단기차입금(요약)(IFRS연결)(백만원),유동성장기부채(요약)(IFRS연결)(백만원)
(주)골프존,215000,2017/12,23333,0,23333,0
(주)골프존,215000,2018/12,18333,0,18333,0
(주)골프존,215000,2019/12,833,0,833,0
(주)골프존,215000,2020/12,0,0,0,0
(주)골프존,215000,2021/12,0,0,0,0
(주)골프존뉴딘홀딩스,121440,2011/12,0,0,0,204
(주)골프존뉴딘홀딩스,121440,2012/12,64000,0,88100,300
(주)골프존뉴딘홀딩스,121440,2013/12,54000,0,101600,0
(주)골프존뉴딘홀딩스,121440,2014/12,49000,0,120100,0
(주)골프존뉴딘홀딩스,121440,2015/12,3105,0,83445,0
(주)골프존뉴딘홀딩스,121440,2016/12,7000,0,117840,0
(주)골프존뉴딘홀딩스,121440,2017/12,9300,24000,86933,0
(주)골프존뉴딘홀딩스,121440,2018/12,9300,40000,177784,0
(주)골프존뉴딘홀딩스,121440,2019/12,9300,0,44592,0
(주)골프존뉴딘홀딩스,121440,2020/12,6300,0,12024,17393
(주)골프존뉴딘홀딩스,121440,2021/12,6300,41879,42024,109166
(주)공구우먼,366030,2017/12,,,,
(주)공구우먼,366030,2018/12,,,,
(주)공구우먼,366030,2019/12,,,,
(주)공구우먼,366030,2020/12,0,0,,
(주)공구우먼,366030,2021/12,0,0,,
(주)광림,014200,2011/12,11707,76,,
(주)광림,014200,2012/12,11374,71,,
(주)광림,014200,2013/12,13066,105,,
(주)광림,014200,2014/12,29423,458,61083,458
(주)광림,014200,2015/12,38866,479,,
(주)광림,014200,2016/12,39984,1366,54889,1492
(주)광림,014200,2017/12,40931,251,46280,251
(주)광림,014200,2018/12,35456,62,40784,20549
(주)광림,014200,2019/12,30190,500,36955,1885
(주)광림,014200,2020/12,21371,1400,30718,3543
(주)광림,014200,2021/12,10663,0,25661,2007
(주)광무,029480,2011/12,17716,5488,18256,5488
(주)광무,029480,2012/12,11209,2588,11207,2588
(주)광무,029480,2013/12,12634,0,12634,0
(주)광무,029480,2014/12,7635,2189,,
(주)광무,029480,2015/12,1501,1920,,
(주)광무,029480,2016/12,860,0,,
(주)광무,029480,2017/12,846,5600,,
(주)광무,029480,2018/12,4570,0,4570,0
(주)광무,029480,2019/12,4270,1070,5798,1070
(주)광무,029480,2020/12,4270,0,5398,0
(주)광무,029480,2021/12,4000,787,4400,1277
(주)구스앤홈,329050,2017/12,,,,
(주)구스앤홈,329050,2018/12,,,,
(주)구스앤홈,329050,2019/12,,,,
(주)구스앤홈,329050,2020/12,,,,
(주)구영테크,053270,2011/12,35083,4108,66559,5361
(주)구영테크,053270,2012/12,49925,3283,81127,4388
(주)구영테크,053270,2013/12,37102,1749,54735,4019
(주)구영테크,053270,2014/12,32676,1994,51876,4552
(주)구영테크,053270,2015/12,23734,2892,38854,6479
(주)구영테크,053270,2016/12,14834,6784,30444,9838
(주)구영테크,053270,2017/12,24700,9987,39674,12791
(주)구영테크,053270,2018/12,11800,12827,28087,15678
(주)구영테크,053270,2019/12,14200,19217,34690,21715
(주)구영테크,053270,2020/12,26500,9741,41341,13301
(주)구영테크,053270,2021/12,18100,12405,38238,18340
(주)국보디자인,066620,2011/12,402,0,569,0
(주)국보디자인,066620,2012/12,0,0,0,0
(주)국보디자인,066620,2013/12,3371,0,3371,0
(주)국보디자인,066620,2014/12,0,0,0,0
(주)국보디자인,066620,2015/12,1881,0,1881,0
(주)국보디자인,066620,2016/12,0,0,0,0
(주)국보디자인,066620,2017/12,0,0,0,0
(주)국보디자인,066620,2018/12,0,0,0,0
(주)국보디자인,066620,2019/12,0,0,0,0
(주)국보디자인,066620,2020/12,0,0,0,0
(주)국보디자인,066620,2021/12,0,0,0,0
(주)국순당,043650,2011/12,0,0,200,100
(주)국순당,043650,2012/12,0,0,200,300
(주)국순당,043650,2013/12,0,0,0,300
(주)국순당,043650,2014/12,0,0,0,690
(주)국순당,043650,2015/12,0,0,0,0
(주)국순당,043650,2016/12,0,0,300,660
(주)국순당,043650,2017/12,0,0,520,0
(주)국순당,043650,2018/12,0,0,490,440
(주)국순당,043650,2019/12,0,0,10536,150
(주)국순당,043650,2020/12,0,0,306,0
(주)국순당,043650,2021/12,0,0,309,0
(주)국영지앤엠,006050,2011/12,210,0,,
(주)국영지앤엠,006050,2012/12,0,0,,
(주)국영지앤엠,006050,2013/12,293,3858,,
(주)국영지앤엠,006050,2014/12,0,0,,
(주)국영지앤엠,006050,2015/12,950,0,,
(주)국영지앤엠,006050,2016/12,0,0,,
(주)국영지앤엠,006050,2017/12,0,500,,
(주)국영지앤엠,006050,2018/12,0,850,,
(주)국영지앤엠,006050,2019/12,1500,237,,
(주)국영지앤엠,006050,2020/12,7500,0,,
(주)국영지앤엠,006050,2021/12,7500,0,,
(주)국전약품,307750,2018/12,,,,
(주)국전약품,307750,2019/12,,,,
(주)국전약품,307750,2020/12,11458,594,,
(주)국전약품,307750,2021/12,5133,1457,,
(주)그래디언트,035080,2011/12,85000,0,112374,0
(주)그래디언트,035080,2012/12,17100,0,60949,1700
(주)그래디언트,035080,2013/12,30900,0,62165,2000
(주)그래디언트,035080,2014/12,7500,0,18477,3590
(주)그래디언트,035080,2015/12,16363,0,30930,4090
(주)그래디언트,035080,2016/12,10351,0,21030,35640
(주)그래디언트,035080,2017/12,9748,0,56007,2100
(주)그래디언트,035080,2018/12,9222,0,68304,2250
(주)그래디언트,035080,2019/12,11037,0,63017,17449
(주)그래디언트,035080,2020/12,0,0,45179,17888
(주)그래디언트,035080,2021/12,0,0,22225,10367
(주)그리티,204020,2011/12,,,,
(주)그리티,204020,2012/12,,,,
(주)그리티,204020,2013/12,,,,
(주)그리티,204020,2014/12,0,0,3396,0
(주)그리티,204020,2015/12,0,0,2733,0
(주)그리티,204020,2016/12,0,0,4545,0
(주)그리티,204020,2017/12,0,0,6304,0
(주)그리티,204020,2018/12,0,0,6340,0
(주)그리티,204020,2019/12,0,4943,1442,1683
(주)그리티,204020,2020/12,0,1547,1275,1607
(주)그리티,204020,2021/12,0,1840,3006,3227
(주)그린플러스,186230,2011/12,,,,
(주)그린플러스,186230,2012/12,,,,
(주)그린플러스,186230,2013/12,,,,
(주)그린플러스,186230,2014/12,,,,
(주)그린플러스,186230,2015/12,,,,
(주)그린플러스,186230,2016/12,,,,
(주)그린플러스,186230,2017/12,,,,
(주)그린플러스,186230,2018/12,4321,3125,5721,4196
(주)그린플러스,186230,2019/12,5321,6000,8533,6000
(주)그린플러스,186230,2020/12,10121,3705,12595,5205
(주)그린플러스,186230,2021/12,10121,2300,12411,3800
(주)극동자동화,272420,2014/12,,,,
(주)극동자동화,272420,2015/12,,,,
(주)극동자동화,272420,2016/12,,,,
(주)극동자동화,272420,2017/12,,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,2500,0,2700,0
(주)글로벌스탠다드테크놀로지,083450,2012/12,2500,0,2700,0
(주)글로벌스탠다드테크놀로지,083450,2013/12,2500,15,2700,15
(주)글로벌스탠다드테크놀로지,083450,2014/12,2500,0,2500,0
(주)글로벌스탠다드테크놀로지,083450,2015/12,2500,0,2500,0
(주)글로벌스탠다드테크놀로지,083450,2016/12,2500,0,3500,0
(주)글로벌스탠다드테크놀로지,083450,2017/12,2000,0,3000,0
(주)글로벌스탠다드테크놀로지,083450,2018/12,2000,0,5281,0
(주)글로벌스탠다드테크놀로지,083450,2019/12,2000,0,4365,0
(주)글로벌스탠다드테크놀로지,083450,2020/12,1000,0,3330,0
(주)글로벌스탠다드테크놀로지,083450,2021/12,1000,0,3525,0
(주)금빛,045890,2011/12,37594,0,37592,0
(주)금빛,045890,2012/12,20315,13114,19514,13114
(주)금빛,045890,2013/12,38948,8075,38932,8075
(주)금빛,045890,2014/12,43300,574,43300,574
(주)금빛,045890,2015/12,41704,0,41704,0
(주)금빛,045890,2016/12,26841,0,26841,0
(주)금빛,045890,2017/12,5965,10000,5965,10000
(주)금빛,045890,2018/12,2100,22000,2100,22000
(주)금빛,045890,2019/12,22300,10000,23241,10000
(주)금빛,045890,2020/12,20182,9500,22012,10172
(주)금오하이텍,165270,2011/12,,,,
(주)금오하이텍,165270,2012/12,,,,
(주)금오하이텍,165270,2013/12,,,,
(주)금오하이텍,165270,2014/12,,,,
(주)금오하이텍,165270,2015/12,,,,
(주)금오하이텍,165270,2016/12,,,,
(주)금화피에스시,036190,2011/12,0,0,,
(주)금화피에스시,036190,2012/12,0,0,,
(주)금화피에스시,036190,2013/12,0,0,0,0
(주)금화피에스시,036190,2014/12,0,0,0,0
(주)금화피에스시,036190,2015/12,0,0,36,0
(주)금화피에스시,036190,2016/12,0,0,300,0
(주)금화피에스시,036190,2017/12,0,0,0,0
(주)금화피에스시,036190,2018/12,0,0,3000,0
(주)금화피에스시,036190,2019/12,0,0,4425,0
(주)금화피에스시,036190,2020/12,0,0,0,1534
(주)금화피에스시,036190,2021/12,0,0,0,215
(주)기가레인,049080,2013/12,18725,4257,18725,4257
(주)기가레인,049080,2014/12,15700,2375,15700,2375
(주)기가레인,049080,2015/12,27904,10327,30185,10327
(주)기가레인,049080,2016/12,26550,22917,27765,22917
(주)기가레인,049080,2017/12,26650,18273,27151,18273
(주)기가레인,049080,2018/12,23292,18808,23293,10921
(주)기가레인,049080,2019/12,27370,9619,27370,10187
(주)기가레인,049080,2020/12,8628,6216,9277,6704
(주)기가레인,049080,2021/12,2300,3071,4945,3466
(주)기산텔레콤,035460,2011/12,6000,7890,15592,10752
(주)기산텔레콤,035460,2012/12,5000,1447,16239,5670
(주)기산텔레콤,035460,2013/12,5000,0,10882,125
(주)기산텔레콤,035460,2014/12,4200,0,8959,3523
(주)기산텔레콤,035460,2015/12,2000,0,7098,339
(주)기산텔레콤,035460,2016/12,0,0,9030,4364
(주)기산텔레콤,035460,2017/12,0,0,0,0
(주)기산텔레콤,035460,2018/12,0,1199,4853,3217
(주)기산텔레콤,035460,2019/12,3440,222,8674,896
(주)기산텔레콤,035460,2020/12,1500,1319,7523,1547
(주)기산텔레콤,035460,2021/12,1350,360,8997,3598
(주)까스텔바작,308100,2016/12,5895,0,5895,0
(주)까스텔바작,308100,2017/12,0,0,0,0
(주)까스텔바작,308100,2018/12,0,0,0,0
(주)까스텔바작,308100,2019/12,0,0,0,0
(주)까스텔바작,308100,2020/12,0,0,684,0
(주)까스텔바작,308100,2021/12,0,0,510,0
(주)꿈비,407400,2021/12,285,1358,285,1358
(주)나노,187790,2014/12,,,,
(주)나노,187790,2015/12,15515,2785,19540,2785
(주)나노,187790,2016/12,13994,2406,18084,3145
(주)나노,187790,2017/12,8863,1893,16894,1893
(주)나노,187790,2018/12,7224,1556,16389,1556
(주)나노,187790,2019/12,6594,1630,16064,3500
(주)나노,187790,2020/12,11089,1268,13861,1333
(주)나노,187790,2021/12,10360,4967,13322,5072
(주)나노브릭,286750,2015/12,,,,
(주)나노브릭,286750,2016/12,,,,
(주)나노브릭,286750,2017/12,2513,1117,2513,1117
(주)나노브릭,286750,2018/12,2300,2313,2300,2313
(주)나노브릭,286750,2019/12,3000,3250,3000,3250
(주)나노브릭,286750,2020/12,1500,3250,,
(주)나노브릭,286750,2021/12,0,3550,,
(주)나노신소재,121600,2011/12,6574,733,6574,733
(주)나노신소재,121600,2012/12,4231,3008,4231,3008
(주)나노신소재,121600,2013/12,2682,240,2682,240
(주)나노신소재,121600,2014/12,3769,240,3769,240
(주)나노신소재,121600,2015/12,1769,240,1769,240
(주)나노신소재,121600,2016/12,0,740,0,740
(주)나노신소재,121600,2017/12,0,240,0,240
(주)나노신소재,121600,2018/12,0,0,0,0
(주)나노신소재,121600,2019/12,0,103,0,139
(주)나노신소재,121600,2020/12,3000,116,3000,120
(주)나노신소재,121600,2021/12,8928,116,8928,273
(주)나노엔텍,039860,2011/12,1833,875,1833,875
(주)나노엔텍,039860,2012/12,2824,188,2824,188
(주)나노엔텍,039860,2013/12,1390,0,1390,0
(주)나노엔텍,039860,2014/12,1272,0,1272,0
(주)나노엔텍,039860,2015/12,0,0,1600,123
(주)나노엔텍,039860,2016/12,0,0,0,0
(주)나노엔텍,039860,2017/12,0,3000,0,12541
(주)나노엔텍,039860,2018/12,0,1310,0,1310
(주)나노엔텍,039860,2019/12,0,0,0,0
(주)나노엔텍,039860,2020/12,0,0,0,0
(주)나노엔텍,039860,2021/12,0,0,0,0
(주)나노트로닉스,010670,2011/12,3521,15610,6221,15610
(주)나노트로닉스,010670,2012/12,7659,14074,9279,14074
(주)나래나노텍,137080,2011/12,,,,
(주)나래나노텍,137080,2012/12,,,,
(주)나래나노텍,137080,2013/12,,,,
(주)나래나노텍,137080,2014/12,,,,
(주)나래나노텍,137080,2015/12,,,,
(주)나래나노텍,137080,2016/12,,,,
(주)나래나노텍,137080,2017/12,20000,3825,,
(주)나래나노텍,137080,2018/12,19300,9633,,
(주)나래나노텍,137080,2019/12,37885,17183,,
(주)나래나노텍,137080,2020/12,42120,3137,42120,3137
(주)나래나노텍,137080,2021/12,44967,1450,44967,1450
(주)나무가,190510,2011/12,,,,
(주)나무가,190510,2012/12,7612,1500,15937,1500
(주)나무가,190510,2013/12,13270,1000,26113,1000
(주)나무가,190510,2014/12,14467,1000,36114,1962
(주)나무가,190510,2015/12,8600,3550,30976,9027
(주)나무가,190510,2016/12,3000,3400,25543,12525
(주)나무가,190510,2017/12,4300,0,35414,7591
(주)나무가,190510,2018/12,2000,0,25250,5317
(주)나무가,190510,2019/12,12303,0,35898,5505
(주)나무가,190510,2020/12,23100,0,32339,4137
(주)나무가,190510,2021/12,14000,500,25855,15062
(주)나스미디어,089600,2011/12,0,0,,
(주)나스미디어,089600,2012/12,0,0,,
(주)나스미디어,089600,2013/12,0,0,,
(주)나스미디어,089600,2014/12,0,0,,
(주)나스미디어,089600,2015/12,0,0,,
(주)나스미디어,089600,2016/12,0,0,0,0
(주)나스미디어,089600,2017/12,0,0,0,0
(주)나스미디어,089600,2018/12,0,0,0,0
(주)나스미디어,089600,2019/12,0,0,0,0
(주)나스미디어,089600,2020/12,0,0,0,0
(주)나스미디어,089600,2021/12,0,0,0,0
(주)나이벡,138610,2011/12,420,1382,,
(주)나이벡,138610,2012/12,420,1624,,
(주)나이벡,138610,2013/12,420,2987,,
(주)나이벡,138610,2014/12,420,6471,,
(주)나이벡,138610,2015/12,420,1574,,
(주)나이벡,138610,2016/12,420,2410,,
(주)나이벡,138610,2017/12,920,1087,,
(주)나이벡,138610,2018/12,870,6101,,
(주)나이벡,138610,2019/12,783,2025,,
(주)나이벡,138610,2020/12,2233,2167,,
(주)나이벡,138610,2021/12,2183,1928,,
(주)나이스디앤비,130580,2011/12,0,0,,
(주)나이스디앤비,130580,2012/12,0,0,,
(주)나이스디앤비,130580,2013/12,0,0,,
(주)나이스디앤비,130580,2014/12,0,0,,
(주)나이스디앤비,130580,2015/12,0,0,0,0
(주)나이스디앤비,130580,2016/12,0,0,0,0
(주)나이스디앤비,130580,2017/12,0,0,0,0
(주)나이스디앤비,130580,2018/12,0,0,0,0
(주)나이스디앤비,130580,2019/12,0,0,0,0
(주)나이스디앤비,130580,2020/12,0,0,0,0
(주)나이스디앤비,130580,2021/12,0,0,0,0
(주)나이코,192240,2012/12,,,,
(주)나이코,192240,2013/12,,,,
(주)나이코,192240,2014/12,,,,
(주)나이코,192240,2015/12,,,,
(주)나인테크,267320,2017/12,,,,
(주)나인테크,267320,2018/12,,,,
(주)나인테크,267320,2019/12,,,,
(주)나인테크,267320,2020/12,4480,2662,,
(주)나인테크,267320,2021/12,3900,7972,,
(주)내츄럴엔도텍,168330,2012/12,0,33,,
(주)내츄럴엔도텍,168330,2013/12,0,19,,
(주)내츄럴엔도텍,168330,2014/12,0,0,,
(주)내츄럴엔도텍,168330,2015/12,0,1160,0,1160
(주)내츄럴엔도텍,168330,2016/12,0,1400,0,1400
(주)내츄럴엔도텍,168330,2017/12,0,725,0,725
(주)내츄럴엔도텍,168330,2018/12,0,20968,203,20968
(주)내츄럴엔도텍,168330,2019/12,0,81,0,0
(주)내츄럴엔도텍,168330,2020/12,0,85,0,0
(주)내츄럴엔도텍,168330,2021/12,0,84,0,314
(주)네오리진,094860,2011/12,5815,0,8523,83
(주)네오리진,094860,2012/12,4018,473,,
(주)네오리진,094860,2013/12,5000,473,,
(주)네오리진,094860,2014/12,3625,197,,
(주)네오리진,094860,2015/12,1254,0,,
(주)네오리진,094860,2016/12,941,0,,
(주)네오리진,094860,2017/12,627,0,627,0
(주)네오리진,094860,2018/12,314,0,,
(주)네오리진,094860,2019/12,100,0,,
(주)네오리진,094860,2020/12,0,0,,
(주)네오리진,094860,2021/12,0,272,0,272
(주)네오셈,253590,2016/12,,,,
(주)네오셈,253590,2017/12,,,,
(주)네오셈,253590,2018/12,,,,
(주)네오셈,253590,2019/12,6600,847,6600,847
(주)네오셈,253590,2020/12,6600,847,6600,847
(주)네오셈,253590,2021/12,2700,847,2700,847
(주)네오오토,212560,2011/12,,,,
(주)네오오토,212560,2012/12,,,,
(주)네오오토,212560,2013/12,25266,3623,,
(주)네오오토,212560,2014/12,11131,4250,,
(주)네오오토,212560,2015/12,3800,6806,,
(주)네오오토,212560,2016/12,1800,14872,,
(주)네오오토,212560,2017/12,1800,16728,,
(주)네오오토,212560,2018/12,1800,13119,,
(주)네오오토,212560,2019/12,0,14048,,
(주)네오오토,212560,2020/12,6500,17539,,
(주)네오오토,212560,2021/12,0,9134,,
(주)네오위즈,095660,2011/12,37000,5000,44243,0
(주)네오위즈,095660,2012/12,18713,40000,19085,41603
(주)네오위즈,095660,2013/12,0,40000,1417,41027
(주)네오위즈,095660,2014/12,0,0,980,0
(주)네오위즈,095660,2015/12,0,0,0,59777
(주)네오위즈,095660,2016/12,0,0,0,0
(주)네오위즈,095660,2017/12,0,0,0,0
(주)네오위즈,095660,2018/12,0,0,0,0
(주)네오위즈,095660,2019/12,0,0,0,0
(주)네오위즈,095660,2020/12,0,0,0,0
(주)네오위즈,095660,2021/12,0,0,0,0
(주)네오위즈홀딩스,042420,2011/12,0,0,38051,6996
(주)네오위즈홀딩스,042420,2012/12,0,24950,19961,41617
(주)네오위즈홀딩스,042420,2013/12,0,0,1230,41027
(주)네오위즈홀딩스,042420,2014/12,0,0,980,0
(주)네오위즈홀딩스,042420,2015/12,0,0,0,48
(주)네오위즈홀딩스,042420,2016/12,0,0,751,0
(주)네오위즈홀딩스,042420,2017/12,0,0,797,0
(주)네오위즈홀딩스,042420,2018/12,0,0,549,0
(주)네오위즈홀딩스,042420,2019/12,0,45,0,0
(주)네오위즈홀딩스,042420,2020/12,0,60,0,0
(주)네오위즈홀딩스,042420,2021/12,0,0,0,0
(주)네오이뮨텍,950220,2019/12,0,346,0,441
(주)네오이뮨텍,950220,2020/12,0,0,0,0
(주)네오이뮨텍,950220,2021/12,0,367,0,1284
(주)네오크레마,311390,2016/12,,,,
(주)네오크레마,311390,2017/12,,,,
(주)네오크레마,311390,2018/12,300,153,,
(주)네오크레마,311390,2019/12,0,0,456,1
(주)네오크레마,311390,2020/12,0,0,1000,0
(주)네오크레마,311390,2021/12,204,4025,1204,4025
(주)네오티스,085910,2011/12,1473,0,,
(주)네오티스,085910,2012/12,2661,600,,
(주)네오티스,085910,2013/12,3774,1182,6624,1182
(주)네오티스,085910,2014/12,7143,0,10693,0
(주)네오티스,085910,2015/12,9143,740,12408,740
(주)네오티스,085910,2016/12,11883,0,14863,0
(주)네오티스,085910,2017/12,11333,2700,14028,2700
(주)네오티스,085910,2018/12,15798,1500,18208,1500
(주)네오티스,085910,2019/12,20136,1491,20836,1969
(주)네오티스,085910,2020/12,16250,2494,18450,3310
(주)네오티스,085910,2021/12,18750,2450,20950,4871
(주)네오팜,092730,2011/12,0,260,,
(주)네오팜,092730,2012/12,116,432,,
(주)네오팜,092730,2013/12,0,24,,
(주)네오팜,092730,2014/12,0,400,,
(주)네오팜,092730,2015/12,0,40,,
(주)네오팜,092730,2016/12,0,57,0,57
(주)네오팜,092730,2017/12,0,64,0,64
(주)네오팜,092730,2018/12,0,31,0,31
(주)네오팜,092730,2019/12,400,276,400,276
(주)네오팜,092730,2020/12,0,4290,0,4290
(주)네오팜,092730,2021/12,0,457,0,457
(주)네오퍼플,028090,2011/12,19983,0,19983,0
(주)네오퍼플,028090,2012/12,10345,0,10345,0
(주)네오펙트,290660,2017/12,330,0,330,0
(주)네오펙트,290660,2018/12,3941,0,3941,0
(주)네오펙트,290660,2019/12,500,3647,1000,4758
(주)네오펙트,290660,2020/12,500,2888,1800,4746
(주)네오펙트,290660,2021/12,500,294,2165,3143
(주)네온테크,306620,2018/12,,,,
(주)네온테크,306620,2019/12,,,,
(주)네온테크,306620,2020/12,5000,8,5500,71
(주)네온테크,306620,2021/12,7000,0,7660,83
(주)네이블커뮤니케이션즈,153460,2011/12,97,0,,
(주)네이블커뮤니케이션즈,153460,2012/12,97,0,,
(주)네이블커뮤니케이션즈,153460,2013/12,49,0,,
(주)네이블커뮤니케이션즈,153460,2014/12,0,0,0,0
(주)네이블커뮤니케이션즈,153460,2015/12,0,0,,
(주)네이블커뮤니케이션즈,153460,2016/12,0,0,,
(주)네이블커뮤니케이션즈,153460,2017/12,0,0,,
(주)네이블커뮤니케이션즈,153460,2018/12,0,0,,
(주)네이블커뮤니케이션즈,153460,2019/12,0,0,,
(주)네이블커뮤니케이션즈,153460,2020/12,0,0,,
(주)네이블커뮤니케이션즈,153460,2021/12,0,0,,
(주)네이처셀,007390,2011/12,8228,3010,,
(주)네이처셀,007390,2012/12,5768,0,,
(주)네이처셀,007390,2013/12,3525,2100,,
(주)네이처셀,007390,2014/12,3240,0,,
(주)네이처셀,007390,2015/12,2740,1680,,
(주)네이처셀,007390,2016/12,2240,46,,
(주)네이처셀,007390,2017/12,2240,46,,
(주)네이처셀,007390,2018/12,2240,1802,,
(주)네이처셀,007390,2019/12,2240,996,,
(주)네이처셀,007390,2020/12,4190,855,,
(주)네이처셀,007390,2021/12,0,1176,,
(주)네패스,033640,2011/12,9000,13169,9000,28110
(주)네패스,033640,2012/12,10618,17916,10618,17916
(주)네패스,033640,2013/12,12000,40589,22876,43696
